,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_9,"Cov: 1.96 ± 0.15%
Acc: 80.95 ± 3.69%
Miss: 0.01 ± 0.02%","Cov: 5.38 ± 0.26%
Acc: 87.69 ± 1.93%
Miss: 0.12 ± 0.05%","Cov: 9.44 ± 0.35%
Acc: 82.63 ± 1.64%
Miss: 0.30 ± 0.06%","Cov: 18.03 ± 0.36%
Acc: 74.30 ± 1.22%
Miss: 1.39 ± 0.12%","Cov: 26.89 ± 0.38%
Acc: 66.28 ± 1.08%
Miss: 1.89 ± 0.16%","Cov: 37.14 ± 0.40%
Acc: 64.37 ± 0.85%
Miss: 3.60 ± 0.19%","Cov: 46.21 ± 0.41%
Acc: 58.92 ± 0.71%
Miss: 2.69 ± 0.16%","Cov: 56.15 ± 0.41%
Acc: 56.84 ± 0.62%
Miss: 2.22 ± 0.11%","Cov: 67.49 ± 0.44%
Acc: 57.25 ± 0.54%
Miss: 2.72 ± 0.13%","Cov: 80.51 ± 0.34%
Acc: 54.24 ± 0.54%
Miss: 0.75 ± 0.07%","Cov: 90.27 ± 0.22%
Acc: 54.64 ± 0.53%
Miss: 0.50 ± 0.06%","Cov: 95.32 ± 0.13%
Acc: 54.28 ± 0.51%
Miss: 0.32 ± 0.06%","Cov: 98.06 ± 0.07%
Acc: 54.24 ± 0.52%
Miss: 0.01 ± 0.01%"
Class_10,"Cov: 1.11 ± 0.08%
Acc: 53.67 ± 3.58%
Miss: 0.00 ± 0.00%","Cov: 3.43 ± 0.24%
Acc: 76.07 ± 2.28%
Miss: 0.01 ± 0.01%","Cov: 5.76 ± 0.29%
Acc: 73.10 ± 1.81%
Miss: 0.02 ± 0.01%","Cov: 13.62 ± 0.37%
Acc: 68.16 ± 1.37%
Miss: 0.06 ± 0.02%","Cov: 23.31 ± 0.41%
Acc: 67.78 ± 0.98%
Miss: 0.48 ± 0.05%","Cov: 35.81 ± 0.56%
Acc: 69.23 ± 0.87%
Miss: 2.06 ± 0.10%","Cov: 43.96 ± 0.58%
Acc: 64.40 ± 0.87%
Miss: 1.65 ± 0.08%","Cov: 52.14 ± 0.57%
Acc: 60.98 ± 0.92%
Miss: 1.06 ± 0.06%","Cov: 63.14 ± 0.54%
Acc: 61.57 ± 0.85%
Miss: 1.17 ± 0.08%","Cov: 74.38 ± 0.48%
Acc: 62.19 ± 0.80%
Miss: 0.94 ± 0.06%","Cov: 88.10 ± 0.40%
Acc: 63.78 ± 0.72%
Miss: 1.00 ± 0.06%","Cov: 92.94 ± 0.29%
Acc: 63.69 ± 0.68%
Miss: 0.56 ± 0.04%","Cov: 97.59 ± 0.14%
Acc: 63.85 ± 0.66%
Miss: 0.12 ± 0.01%"
Class_11,"Cov: 5.28 ± 0.19%
Acc: 79.42 ± 1.25%
Miss: 0.00 ± 0.00%","Cov: 10.43 ± 0.27%
Acc: 81.85 ± 0.94%
Miss: 0.01 ± 0.01%","Cov: 14.92 ± 0.30%
Acc: 76.29 ± 1.20%
Miss: 0.01 ± 0.01%","Cov: 27.79 ± 0.43%
Acc: 71.98 ± 1.03%
Miss: 0.20 ± 0.04%","Cov: 42.05 ± 0.52%
Acc: 70.67 ± 0.88%
Miss: 0.86 ± 0.08%","Cov: 55.57 ± 0.47%
Acc: 70.40 ± 0.67%
Miss: 3.15 ± 0.15%","Cov: 66.58 ± 0.41%
Acc: 67.97 ± 0.53%
Miss: 4.31 ± 0.16%","Cov: 73.99 ± 0.37%
Acc: 63.98 ± 0.53%
Miss: 2.48 ± 0.10%","Cov: 80.56 ± 0.33%
Acc: 62.06 ± 0.50%
Miss: 1.73 ± 0.10%","Cov: 86.21 ± 0.27%
Acc: 60.28 ± 0.46%
Miss: 0.79 ± 0.08%","Cov: 92.78 ± 0.19%
Acc: 59.35 ± 0.49%
Miss: 0.31 ± 0.03%","Cov: 95.83 ± 0.13%
Acc: 59.14 ± 0.48%
Miss: 0.22 ± 0.03%","Cov: 98.17 ± 0.07%
Acc: 59.01 ± 0.49%
Miss: 0.00 ± 0.00%"
Class_12,"Cov: 4.13 ± 0.24%
Acc: 73.56 ± 4.29%
Miss: 0.30 ± 0.13%","Cov: 6.38 ± 0.33%
Acc: 63.80 ± 4.36%
Miss: 0.36 ± 0.15%","Cov: 14.03 ± 0.49%
Acc: 69.83 ± 2.73%
Miss: 0.53 ± 0.18%","Cov: 23.29 ± 0.58%
Acc: 67.85 ± 2.20%
Miss: 0.66 ± 0.20%","Cov: 32.48 ± 0.54%
Acc: 67.83 ± 1.88%
Miss: 0.41 ± 0.12%","Cov: 39.87 ± 0.50%
Acc: 66.14 ± 1.71%
Miss: 0.22 ± 0.05%","Cov: 51.42 ± 0.42%
Acc: 69.08 ± 1.35%
Miss: 0.14 ± 0.03%","Cov: 59.39 ± 0.36%
Acc: 68.34 ± 1.14%
Miss: 0.08 ± 0.02%","Cov: 66.43 ± 0.38%
Acc: 67.52 ± 1.04%
Miss: 0.04 ± 0.02%","Cov: 85.36 ± 0.34%
Acc: 71.89 ± 0.84%
Miss: 0.61 ± 0.06%","Cov: 91.07 ± 0.32%
Acc: 70.98 ± 0.82%
Miss: 0.17 ± 0.03%","Cov: 97.01 ± 0.24%
Acc: 71.86 ± 0.79%
Miss: 0.85 ± 0.10%","Cov: 98.51 ± 0.17%
Acc: 71.78 ± 0.76%
Miss: 0.47 ± 0.08%"
Class_13,"Cov: 2.58 ± 0.15%
Acc: 61.10 ± 2.51%
Miss: 0.00 ± 0.00%","Cov: 4.54 ± 0.21%
Acc: 60.68 ± 2.06%
Miss: 0.00 ± 0.00%","Cov: 11.23 ± 0.43%
Acc: 73.11 ± 1.45%
Miss: 0.07 ± 0.02%","Cov: 27.08 ± 0.49%
Acc: 77.86 ± 0.61%
Miss: 0.29 ± 0.06%","Cov: 41.92 ± 0.46%
Acc: 78.87 ± 0.45%
Miss: 0.38 ± 0.06%","Cov: 51.44 ± 0.41%
Acc: 77.38 ± 0.42%
Miss: 0.56 ± 0.06%","Cov: 61.15 ± 0.43%
Acc: 75.27 ± 0.39%
Miss: 0.43 ± 0.05%","Cov: 70.63 ± 0.39%
Acc: 73.53 ± 0.37%
Miss: 0.23 ± 0.04%","Cov: 78.49 ± 0.33%
Acc: 72.71 ± 0.31%
Miss: 0.19 ± 0.04%","Cov: 88.51 ± 0.23%
Acc: 73.45 ± 0.29%
Miss: 0.19 ± 0.04%","Cov: 93.99 ± 0.16%
Acc: 72.53 ± 0.29%
Miss: 0.02 ± 0.01%","Cov: 98.05 ± 0.06%
Acc: 72.76 ± 0.29%
Miss: 0.15 ± 0.02%","Cov: 99.38 ± 0.04%
Acc: 72.44 ± 0.29%
Miss: 0.11 ± 0.02%"
Class_14,"Cov: 4.36 ± 0.27%
Acc: 64.37 ± 2.53%
Miss: 0.05 ± 0.02%","Cov: 7.27 ± 0.35%
Acc: 65.90 ± 2.33%
Miss: 0.18 ± 0.06%","Cov: 10.73 ± 0.40%
Acc: 64.19 ± 1.85%
Miss: 0.22 ± 0.07%","Cov: 21.20 ± 0.54%
Acc: 68.21 ± 1.19%
Miss: 1.96 ± 0.11%","Cov: 27.90 ± 0.50%
Acc: 65.18 ± 1.03%
Miss: 2.38 ± 0.12%","Cov: 39.24 ± 0.46%
Acc: 66.73 ± 0.84%
Miss: 3.87 ± 0.19%","Cov: 52.33 ± 0.45%
Acc: 67.01 ± 0.66%
Miss: 4.55 ± 0.18%","Cov: 61.54 ± 0.45%
Acc: 64.27 ± 0.66%
Miss: 2.94 ± 0.18%","Cov: 73.41 ± 0.48%
Acc: 64.91 ± 0.61%
Miss: 2.94 ± 0.18%","Cov: 82.62 ± 0.37%
Acc: 64.39 ± 0.59%
Miss: 2.52 ± 0.12%","Cov: 91.74 ± 0.24%
Acc: 63.52 ± 0.56%
Miss: 1.96 ± 0.10%","Cov: 95.61 ± 0.17%
Acc: 62.59 ± 0.58%
Miss: 1.45 ± 0.08%","Cov: 98.50 ± 0.10%
Acc: 61.64 ± 0.58%
Miss: 0.68 ± 0.05%"
Class_15,"Cov: 1.66 ± 0.11%
Acc: 39.36 ± 3.08%
Miss: 0.01 ± 0.01%","Cov: 3.47 ± 0.18%
Acc: 54.78 ± 2.50%
Miss: 0.04 ± 0.02%","Cov: 14.15 ± 0.50%
Acc: 83.37 ± 0.84%
Miss: 0.30 ± 0.06%","Cov: 22.99 ± 0.58%
Acc: 78.40 ± 0.80%
Miss: 0.51 ± 0.08%","Cov: 35.51 ± 0.61%
Acc: 78.39 ± 0.79%
Miss: 1.46 ± 0.16%","Cov: 45.96 ± 0.54%
Acc: 76.97 ± 0.74%
Miss: 2.07 ± 0.16%","Cov: 52.97 ± 0.50%
Acc: 73.97 ± 0.78%
Miss: 1.51 ± 0.14%","Cov: 66.62 ± 0.41%
Acc: 73.94 ± 0.78%
Miss: 1.32 ± 0.13%","Cov: 76.21 ± 0.36%
Acc: 74.09 ± 0.75%
Miss: 1.15 ± 0.11%","Cov: 84.55 ± 0.31%
Acc: 74.08 ± 0.71%
Miss: 0.70 ± 0.08%","Cov: 91.47 ± 0.22%
Acc: 73.72 ± 0.67%
Miss: 0.19 ± 0.03%","Cov: 95.31 ± 0.17%
Acc: 74.07 ± 0.66%
Miss: 0.15 ± 0.03%","Cov: 97.88 ± 0.11%
Acc: 74.24 ± 0.65%
Miss: 0.00 ± 0.00%"
Class_16,"Cov: 14.05 ± 0.42%
Acc: 90.38 ± 1.27%
Miss: 0.00 ± 0.00%","Cov: 14.77 ± 0.43%
Acc: 85.97 ± 1.19%
Miss: 0.00 ± 0.00%","Cov: 22.32 ± 0.54%
Acc: 84.92 ± 1.10%
Miss: 0.07 ± 0.09%","Cov: 29.51 ± 0.41%
Acc: 79.45 ± 0.93%
Miss: 0.07 ± 0.09%","Cov: 42.00 ± 0.46%
Acc: 78.99 ± 0.80%
Miss: 0.02 ± 0.01%","Cov: 56.53 ± 0.45%
Acc: 80.10 ± 0.73%
Miss: 0.04 ± 0.02%","Cov: 64.18 ± 0.49%
Acc: 78.07 ± 0.63%
Miss: 0.04 ± 0.01%","Cov: 72.71 ± 0.50%
Acc: 76.80 ± 0.63%
Miss: 0.12 ± 0.05%","Cov: 78.49 ± 0.42%
Acc: 75.47 ± 0.58%
Miss: 0.23 ± 0.09%","Cov: 86.83 ± 0.28%
Acc: 75.27 ± 0.53%
Miss: 0.20 ± 0.05%","Cov: 93.28 ± 0.21%
Acc: 74.60 ± 0.54%
Miss: 0.24 ± 0.03%","Cov: 95.61 ± 0.22%
Acc: 74.20 ± 0.53%
Miss: 0.17 ± 0.02%","Cov: 97.95 ± 0.20%
Acc: 73.95 ± 0.53%
Miss: 0.13 ± 0.02%"
Class_17,"Cov: 5.70 ± 0.40%
Acc: 58.01 ± 4.48%
Miss: 0.00 ± 0.00%","Cov: 7.18 ± 0.44%
Acc: 58.38 ± 4.10%
Miss: 0.00 ± 0.00%","Cov: 18.42 ± 0.41%
Acc: 75.48 ± 2.80%
Miss: 0.01 ± 0.01%","Cov: 36.26 ± 0.44%
Acc: 78.58 ± 2.05%
Miss: 0.12 ± 0.05%","Cov: 44.68 ± 0.45%
Acc: 77.06 ± 1.79%
Miss: 0.20 ± 0.05%","Cov: 51.81 ± 0.41%
Acc: 75.88 ± 1.51%
Miss: 0.23 ± 0.05%","Cov: 63.36 ± 0.42%
Acc: 76.91 ± 1.29%
Miss: 0.35 ± 0.09%","Cov: 70.38 ± 0.42%
Acc: 75.29 ± 1.21%
Miss: 0.15 ± 0.07%","Cov: 77.58 ± 0.35%
Acc: 75.30 ± 1.09%
Miss: 0.14 ± 0.05%","Cov: 84.89 ± 0.31%
Acc: 75.45 ± 0.98%
Miss: 0.07 ± 0.02%","Cov: 90.01 ± 0.30%
Acc: 75.32 ± 0.99%
Miss: 0.01 ± 0.01%","Cov: 92.61 ± 0.31%
Acc: 75.10 ± 0.95%
Miss: 0.01 ± 0.00%","Cov: 98.60 ± 0.16%
Acc: 76.22 ± 0.87%
Miss: 0.01 ± 0.01%"
Class_18,"Cov: 8.23 ± 0.40%
Acc: 70.37 ± 1.52%
Miss: 0.00 ± 0.00%","Cov: 10.73 ± 0.50%
Acc: 54.10 ± 1.92%
Miss: 0.00 ± 0.00%","Cov: 15.00 ± 0.54%
Acc: 52.81 ± 1.71%
Miss: 0.00 ± 0.00%","Cov: 29.74 ± 0.66%
Acc: 57.08 ± 1.10%
Miss: 0.01 ± 0.01%","Cov: 43.42 ± 0.64%
Acc: 60.60 ± 0.91%
Miss: 0.06 ± 0.03%","Cov: 55.45 ± 0.67%
Acc: 62.75 ± 0.74%
Miss: 0.09 ± 0.04%","Cov: 69.26 ± 0.45%
Acc: 64.68 ± 0.56%
Miss: 0.11 ± 0.04%","Cov: 78.90 ± 0.49%
Acc: 64.60 ± 0.60%
Miss: 0.41 ± 0.06%","Cov: 83.88 ± 0.41%
Acc: 63.27 ± 0.60%
Miss: 0.25 ± 0.04%","Cov: 87.73 ± 0.36%
Acc: 62.34 ± 0.63%
Miss: 0.09 ± 0.02%","Cov: 92.70 ± 0.29%
Acc: 61.40 ± 0.61%
Miss: 0.04 ± 0.01%","Cov: 95.08 ± 0.25%
Acc: 60.78 ± 0.59%
Miss: 0.04 ± 0.02%","Cov: 99.24 ± 0.11%
Acc: 61.59 ± 0.57%
Miss: 0.23 ± 0.04%"
