,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 6.44 ± 0.07%
Acc: 86.17 ± 1.00%
Miss: 0.01 ± 0.00%","Cov: 8.59 ± 0.09%
Acc: 82.41 ± 0.81%
Miss: 0.03 ± 0.01%","Cov: 13.54 ± 0.11%
Acc: 81.92 ± 0.58%
Miss: 0.13 ± 0.01%","Cov: 22.57 ± 0.12%
Acc: 82.20 ± 0.37%
Miss: 0.17 ± 0.01%","Cov: 32.73 ± 0.13%
Acc: 82.60 ± 0.28%
Miss: 0.35 ± 0.01%","Cov: 44.46 ± 0.14%
Acc: 81.24 ± 0.21%
Miss: 0.55 ± 0.02%","Cov: 56.08 ± 0.15%
Acc: 79.94 ± 0.18%
Miss: 0.80 ± 0.02%","Cov: 67.46 ± 0.14%
Acc: 77.55 ± 0.17%
Miss: 0.79 ± 0.02%","Cov: 78.51 ± 0.14%
Acc: 75.01 ± 0.17%
Miss: 0.70 ± 0.02%","Cov: 90.53 ± 0.09%
Acc: 72.61 ± 0.16%
Miss: 0.62 ± 0.02%","Cov: 97.13 ± 0.05%
Acc: 70.75 ± 0.12%
Miss: 0.29 ± 0.01%","Cov: 98.89 ± 0.03%
Acc: 70.23 ± 0.12%
Miss: 0.22 ± 0.01%","Cov: 99.96 ± 0.00%
Acc: 70.09 ± 0.12%
Miss: 0.01 ± 0.00%"
Class_0,"Cov: 2.58 ± 0.13%
Acc: 50.36 ± 3.31%
Miss: 0.00 ± 0.00%","Cov: 4.60 ± 0.21%
Acc: 52.89 ± 2.40%
Miss: 0.00 ± 0.00%","Cov: 20.60 ± 0.56%
Acc: 84.67 ± 0.66%
Miss: 1.26 ± 0.16%","Cov: 28.52 ± 0.58%
Acc: 76.78 ± 0.87%
Miss: 0.72 ± 0.10%","Cov: 37.39 ± 0.57%
Acc: 74.87 ± 0.86%
Miss: 0.72 ± 0.09%","Cov: 50.96 ± 0.57%
Acc: 73.82 ± 0.79%
Miss: 0.96 ± 0.10%","Cov: 61.49 ± 0.50%
Acc: 70.94 ± 0.88%
Miss: 0.69 ± 0.09%","Cov: 70.62 ± 0.42%
Acc: 67.29 ± 0.87%
Miss: 0.27 ± 0.08%","Cov: 83.83 ± 0.32%
Acc: 66.56 ± 0.83%
Miss: 0.30 ± 0.10%","Cov: 91.74 ± 0.22%
Acc: 64.20 ± 0.79%
Miss: 0.15 ± 0.05%","Cov: 98.41 ± 0.07%
Acc: 63.63 ± 0.76%
Miss: 0.20 ± 0.03%","Cov: 99.52 ± 0.05%
Acc: 63.14 ± 0.76%
Miss: 0.22 ± 0.03%","Cov: 99.97 ± 0.01%
Acc: 62.90 ± 0.75%
Miss: 0.01 ± 0.01%"
Class_1,"Cov: 27.33 ± 0.54%
Acc: 91.85 ± 3.66%
Miss: 0.00 ± 0.00%","Cov: 28.71 ± 0.60%
Acc: 87.51 ± 3.59%
Miss: 0.00 ± 0.00%","Cov: 29.92 ± 0.66%
Acc: 84.01 ± 3.49%
Miss: 0.00 ± 0.00%","Cov: 31.22 ± 0.67%
Acc: 80.52 ± 3.36%
Miss: 0.00 ± 0.00%","Cov: 36.15 ± 0.71%
Acc: 79.78 ± 3.06%
Miss: 0.00 ± 0.00%","Cov: 46.82 ± 0.39%
Acc: 79.95 ± 2.34%
Miss: 0.00 ± 0.00%","Cov: 59.94 ± 0.50%
Acc: 81.11 ± 1.81%
Miss: 0.01 ± 0.01%","Cov: 70.99 ± 0.45%
Acc: 79.39 ± 1.62%
Miss: 0.01 ± 0.01%","Cov: 81.06 ± 0.44%
Acc: 77.18 ± 1.47%
Miss: 0.06 ± 0.03%","Cov: 92.37 ± 0.24%
Acc: 74.82 ± 1.32%
Miss: 0.84 ± 0.07%","Cov: 97.45 ± 0.12%
Acc: 72.55 ± 0.92%
Miss: 0.40 ± 0.06%","Cov: 99.17 ± 0.07%
Acc: 72.08 ± 0.54%
Miss: 0.27 ± 0.04%","Cov: 99.96 ± 0.01%
Acc: 71.71 ± 0.57%
Miss: 0.00 ± 0.00%"
Class_2,"Cov: 3.25 ± 0.19%
Acc: 58.57 ± 3.52%
Miss: 0.00 ± 0.00%","Cov: 9.25 ± 0.37%
Acc: 78.29 ± 1.44%
Miss: 0.22 ± 0.06%","Cov: 12.74 ± 0.42%
Acc: 75.54 ± 1.41%
Miss: 0.29 ± 0.05%","Cov: 20.51 ± 0.47%
Acc: 70.50 ± 1.32%
Miss: 0.30 ± 0.07%","Cov: 35.57 ± 0.57%
Acc: 75.56 ± 1.01%
Miss: 0.66 ± 0.11%","Cov: 48.52 ± 0.55%
Acc: 74.04 ± 0.89%
Miss: 0.42 ± 0.07%","Cov: 59.17 ± 0.48%
Acc: 71.94 ± 0.78%
Miss: 0.41 ± 0.05%","Cov: 73.68 ± 0.32%
Acc: 70.65 ± 0.74%
Miss: 1.37 ± 0.10%","Cov: 82.08 ± 0.26%
Acc: 66.41 ± 0.73%
Miss: 0.92 ± 0.07%","Cov: 91.42 ± 0.20%
Acc: 61.63 ± 0.70%
Miss: 0.72 ± 0.06%","Cov: 97.74 ± 0.10%
Acc: 58.86 ± 0.67%
Miss: 0.62 ± 0.05%","Cov: 99.35 ± 0.06%
Acc: 58.18 ± 0.64%
Miss: 0.32 ± 0.04%","Cov: 99.97 ± 0.01%
Acc: 57.77 ± 0.63%
Miss: 0.00 ± 0.00%"
Class_3,"Cov: 3.64 ± 0.19%
Acc: 70.57 ± 2.22%
Miss: 0.06 ± 0.03%","Cov: 6.96 ± 0.32%
Acc: 72.59 ± 1.51%
Miss: 0.08 ± 0.03%","Cov: 10.03 ± 0.35%
Acc: 69.66 ± 1.48%
Miss: 0.07 ± 0.03%","Cov: 20.68 ± 0.42%
Acc: 75.55 ± 0.90%
Miss: 0.21 ± 0.05%","Cov: 31.22 ± 0.46%
Acc: 76.04 ± 0.78%
Miss: 0.46 ± 0.07%","Cov: 41.32 ± 0.44%
Acc: 71.25 ± 0.80%
Miss: 0.52 ± 0.07%","Cov: 52.17 ± 0.45%
Acc: 68.39 ± 0.71%
Miss: 0.95 ± 0.08%","Cov: 64.07 ± 0.45%
Acc: 64.26 ± 0.67%
Miss: 1.19 ± 0.08%","Cov: 75.45 ± 0.42%
Acc: 58.83 ± 0.63%
Miss: 0.49 ± 0.05%","Cov: 89.77 ± 0.24%
Acc: 56.18 ± 0.60%
Miss: 1.68 ± 0.07%","Cov: 96.92 ± 0.16%
Acc: 52.90 ± 0.56%
Miss: 0.31 ± 0.04%","Cov: 98.97 ± 0.11%
Acc: 52.21 ± 0.56%
Miss: 0.27 ± 0.04%","Cov: 99.89 ± 0.03%
Acc: 51.86 ± 0.56%
Miss: 0.00 ± 0.00%"
Class_4,"Cov: 6.76 ± 0.21%
Acc: 62.75 ± 2.22%
Miss: 0.00 ± 0.00%","Cov: 11.19 ± 0.34%
Acc: 63.34 ± 1.82%
Miss: 0.10 ± 0.05%","Cov: 16.02 ± 0.42%
Acc: 55.23 ± 1.95%
Miss: 0.05 ± 0.03%","Cov: 29.00 ± 0.43%
Acc: 63.43 ± 1.58%
Miss: 0.47 ± 0.14%","Cov: 35.89 ± 0.47%
Acc: 61.06 ± 1.52%
Miss: 0.50 ± 0.10%","Cov: 47.80 ± 0.51%
Acc: 61.40 ± 1.30%
Miss: 0.27 ± 0.09%","Cov: 55.33 ± 0.50%
Acc: 59.28 ± 1.18%
Miss: 0.05 ± 0.03%","Cov: 69.79 ± 0.45%
Acc: 61.24 ± 0.97%
Miss: 0.05 ± 0.02%","Cov: 82.74 ± 0.38%
Acc: 61.26 ± 0.80%
Miss: 0.13 ± 0.03%","Cov: 91.74 ± 0.25%
Acc: 58.27 ± 0.79%
Miss: 0.10 ± 0.02%","Cov: 98.14 ± 0.12%
Acc: 57.46 ± 0.73%
Miss: 0.28 ± 0.05%","Cov: 99.32 ± 0.08%
Acc: 57.04 ± 0.75%
Miss: 0.31 ± 0.04%","Cov: 99.96 ± 0.01%
Acc: 56.70 ± 0.73%
Miss: 0.00 ± 0.00%"
Class_5,"Cov: 1.87 ± 0.13%
Acc: 63.50 ± 3.81%
Miss: 0.00 ± 0.00%","Cov: 3.18 ± 0.16%
Acc: 63.82 ± 2.71%
Miss: 0.00 ± 0.00%","Cov: 11.72 ± 0.33%
Acc: 74.77 ± 1.57%
Miss: 0.05 ± 0.02%","Cov: 22.43 ± 0.49%
Acc: 78.71 ± 1.15%
Miss: 0.03 ± 0.01%","Cov: 32.25 ± 0.53%
Acc: 78.57 ± 1.04%
Miss: 0.05 ± 0.02%","Cov: 41.68 ± 0.54%
Acc: 74.20 ± 0.95%
Miss: 0.03 ± 0.01%","Cov: 58.50 ± 0.48%
Acc: 75.02 ± 0.80%
Miss: 0.18 ± 0.04%","Cov: 68.89 ± 0.44%
Acc: 71.55 ± 0.74%
Miss: 0.08 ± 0.02%","Cov: 83.81 ± 0.33%
Acc: 71.21 ± 0.63%
Miss: 0.38 ± 0.04%","Cov: 92.81 ± 0.22%
Acc: 67.76 ± 0.59%
Miss: 0.27 ± 0.03%","Cov: 97.96 ± 0.11%
Acc: 66.10 ± 0.56%
Miss: 0.19 ± 0.03%","Cov: 99.38 ± 0.05%
Acc: 65.76 ± 0.55%
Miss: 0.22 ± 0.03%","Cov: 99.95 ± 0.01%
Acc: 65.50 ± 0.54%
Miss: 0.00 ± 0.00%"
Class_6,"Cov: 13.93 ± 0.17%
Acc: 98.77 ± 0.17%
Miss: 0.00 ± 0.00%","Cov: 14.04 ± 0.17%
Acc: 97.99 ± 0.25%
Miss: 0.00 ± 0.00%","Cov: 14.25 ± 0.17%
Acc: 96.57 ± 0.30%
Miss: 0.00 ± 0.00%","Cov: 23.10 ± 0.17%
Acc: 96.83 ± 0.29%
Miss: 0.00 ± 0.00%","Cov: 27.01 ± 0.25%
Acc: 96.64 ± 0.29%
Miss: 0.00 ± 0.00%","Cov: 32.91 ± 0.30%
Acc: 96.33 ± 0.24%
Miss: 0.00 ± 0.00%","Cov: 48.06 ± 0.52%
Acc: 96.30 ± 0.20%
Miss: 0.00 ± 0.00%","Cov: 54.29 ± 0.53%
Acc: 95.42 ± 0.21%
Miss: 0.00 ± 0.00%","Cov: 63.57 ± 0.52%
Acc: 94.57 ± 0.22%
Miss: 0.00 ± 0.00%","Cov: 86.16 ± 0.31%
Acc: 94.73 ± 0.19%
Miss: 0.00 ± 0.00%","Cov: 92.98 ± 0.23%
Acc: 94.17 ± 0.20%
Miss: 0.00 ± 0.00%","Cov: 95.41 ± 0.16%
Acc: 94.01 ± 0.20%
Miss: 0.00 ± 0.00%","Cov: 99.96 ± 0.01%
Acc: 94.20 ± 0.20%
Miss: 0.00 ± 0.00%"
Class_7,"Cov: 2.02 ± 0.13%
Acc: 52.06 ± 3.80%
Miss: 0.00 ± 0.00%","Cov: 3.11 ± 0.17%
Acc: 49.93 ± 3.31%
Miss: 0.00 ± 0.00%","Cov: 4.87 ± 0.23%
Acc: 51.24 ± 2.71%
Miss: 0.03 ± 0.02%","Cov: 11.73 ± 0.37%
Acc: 64.32 ± 1.87%
Miss: 0.05 ± 0.03%","Cov: 27.47 ± 0.57%
Acc: 78.13 ± 1.05%
Miss: 0.11 ± 0.04%","Cov: 43.11 ± 0.74%
Acc: 78.06 ± 0.87%
Miss: 0.18 ± 0.04%","Cov: 53.25 ± 0.73%
Acc: 75.73 ± 0.82%
Miss: 0.30 ± 0.05%","Cov: 65.11 ± 0.66%
Acc: 73.01 ± 0.72%
Miss: 0.39 ± 0.04%","Cov: 76.75 ± 0.54%
Acc: 69.67 ± 0.70%
Miss: 0.17 ± 0.03%","Cov: 90.28 ± 0.30%
Acc: 67.95 ± 0.67%
Miss: 0.15 ± 0.03%","Cov: 97.58 ± 0.14%
Acc: 67.17 ± 0.67%
Miss: 0.15 ± 0.03%","Cov: 99.40 ± 0.04%
Acc: 66.90 ± 0.65%
Miss: 0.16 ± 0.03%","Cov: 99.97 ± 0.01%
Acc: 66.69 ± 0.65%
Miss: 0.00 ± 0.00%"
Class_8,"Cov: 4.63 ± 0.21%
Acc: 65.18 ± 2.53%
Miss: 0.10 ± 0.04%","Cov: 7.98 ± 0.30%
Acc: 68.14 ± 1.72%
Miss: 0.06 ± 0.03%","Cov: 15.94 ± 0.50%
Acc: 77.19 ± 1.04%
Miss: 0.14 ± 0.04%","Cov: 29.58 ± 0.47%
Acc: 81.82 ± 0.65%
Miss: 0.37 ± 0.08%","Cov: 37.44 ± 0.50%
Acc: 79.90 ± 0.70%
Miss: 0.45 ± 0.10%","Cov: 49.75 ± 0.54%
Acc: 77.74 ± 0.56%
Miss: 1.38 ± 0.11%","Cov: 56.69 ± 0.49%
Acc: 71.76 ± 0.64%
Miss: 1.28 ± 0.10%","Cov: 66.52 ± 0.43%
Acc: 66.09 ± 0.58%
Miss: 1.28 ± 0.09%","Cov: 78.43 ± 0.35%
Acc: 61.78 ± 0.54%
Miss: 1.79 ± 0.12%","Cov: 90.26 ± 0.29%
Acc: 56.77 ± 0.51%
Miss: 1.43 ± 0.09%","Cov: 97.37 ± 0.12%
Acc: 53.64 ± 0.51%
Miss: 0.69 ± 0.07%","Cov: 99.20 ± 0.07%
Acc: 52.73 ± 0.51%
Miss: 0.44 ± 0.06%","Cov: 99.87 ± 0.04%
Acc: 52.43 ± 0.50%
Miss: 0.07 ± 0.03%"
