,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 25.69 ± 0.55%
Acc: 55.25 ± 0.94%
Miss: 2.43 ± 0.10%","Cov: 25.69 ± 0.55%
Acc: 55.25 ± 0.94%
Miss: 2.43 ± 0.10%","Cov: 25.69 ± 0.55%
Acc: 55.25 ± 0.94%
Miss: 2.43 ± 0.10%","Cov: 37.29 ± 0.56%
Acc: 55.63 ± 0.77%
Miss: 4.11 ± 0.17%","Cov: 45.59 ± 0.59%
Acc: 57.02 ± 0.58%
Miss: 4.05 ± 0.20%","Cov: 52.04 ± 0.48%
Acc: 56.48 ± 0.52%
Miss: 3.47 ± 0.19%","Cov: 57.60 ± 0.48%
Acc: 56.21 ± 0.52%
Miss: 3.25 ± 0.19%","Cov: 63.57 ± 0.41%
Acc: 55.76 ± 0.48%
Miss: 2.39 ± 0.14%","Cov: 70.72 ± 0.31%
Acc: 55.37 ± 0.49%
Miss: 1.70 ± 0.11%","Cov: 78.41 ± 0.29%
Acc: 55.82 ± 0.46%
Miss: 2.00 ± 0.11%","Cov: 86.94 ± 0.23%
Acc: 56.02 ± 0.45%
Miss: 1.48 ± 0.07%","Cov: 89.77 ± 0.22%
Acc: 55.95 ± 0.44%
Miss: 1.30 ± 0.07%","Cov: 91.43 ± 0.21%
Acc: 55.95 ± 0.44%
Miss: 1.21 ± 0.07%"
Class_0,"Cov: 24.42 ± 1.18%
Acc: 24.57 ± 2.66%
Miss: 0.23 ± 0.10%","Cov: 24.42 ± 1.18%
Acc: 24.57 ± 2.66%
Miss: 0.23 ± 0.10%","Cov: 24.42 ± 1.18%
Acc: 24.57 ± 2.66%
Miss: 0.23 ± 0.10%","Cov: 41.33 ± 1.50%
Acc: 37.66 ± 2.67%
Miss: 2.41 ± 0.31%","Cov: 48.08 ± 1.40%
Acc: 40.43 ± 2.47%
Miss: 3.38 ± 0.40%","Cov: 53.15 ± 1.28%
Acc: 40.09 ± 2.40%
Miss: 3.39 ± 0.42%","Cov: 57.64 ± 1.28%
Acc: 39.12 ± 2.33%
Miss: 3.02 ± 0.41%","Cov: 62.93 ± 1.22%
Acc: 38.22 ± 2.26%
Miss: 1.79 ± 0.31%","Cov: 72.66 ± 1.02%
Acc: 41.46 ± 2.19%
Miss: 1.98 ± 0.37%","Cov: 83.07 ± 0.90%
Acc: 44.83 ± 2.06%
Miss: 3.53 ± 0.45%","Cov: 90.21 ± 0.64%
Acc: 43.36 ± 1.96%
Miss: 1.38 ± 0.22%","Cov: 93.61 ± 0.50%
Acc: 43.82 ± 1.92%
Miss: 1.29 ± 0.18%","Cov: 95.38 ± 0.42%
Acc: 44.10 ± 1.90%
Miss: 1.35 ± 0.19%"
Class_1,"Cov: 24.68 ± 1.88%
Acc: 49.46 ± 5.98%
Miss: 0.00 ± 0.00%","Cov: 24.68 ± 1.88%
Acc: 49.46 ± 5.98%
Miss: 0.00 ± 0.00%","Cov: 24.68 ± 1.88%
Acc: 49.46 ± 5.98%
Miss: 0.00 ± 0.00%","Cov: 32.53 ± 1.80%
Acc: 49.11 ± 3.88%
Miss: 0.00 ± 0.00%","Cov: 50.36 ± 2.21%
Acc: 62.42 ± 2.41%
Miss: 0.00 ± 0.00%","Cov: 60.26 ± 0.95%
Acc: 65.60 ± 0.93%
Miss: 0.00 ± 0.00%","Cov: 67.99 ± 0.77%
Acc: 66.76 ± 0.89%
Miss: 0.02 ± 0.01%","Cov: 74.13 ± 0.63%
Acc: 66.90 ± 0.83%
Miss: 0.07 ± 0.03%","Cov: 76.87 ± 0.60%
Acc: 64.56 ± 0.81%
Miss: 0.00 ± 0.00%","Cov: 80.47 ± 0.62%
Acc: 63.02 ± 0.82%
Miss: 0.00 ± 0.00%","Cov: 85.97 ± 0.63%
Acc: 62.51 ± 0.95%
Miss: 0.00 ± 0.00%","Cov: 88.36 ± 0.65%
Acc: 62.12 ± 1.03%
Miss: 0.01 ± 0.00%","Cov: 90.41 ± 0.61%
Acc: 62.10 ± 1.06%
Miss: 0.02 ± 0.01%"
Class_2,"Cov: 22.41 ± 0.67%
Acc: 27.40 ± 3.25%
Miss: 1.23 ± 0.31%","Cov: 22.41 ± 0.67%
Acc: 27.40 ± 3.25%
Miss: 1.23 ± 0.31%","Cov: 22.41 ± 0.67%
Acc: 27.40 ± 3.25%
Miss: 1.23 ± 0.31%","Cov: 31.13 ± 0.66%
Acc: 25.45 ± 2.72%
Miss: 1.52 ± 0.29%","Cov: 35.64 ± 0.65%
Acc: 23.62 ± 2.47%
Miss: 1.23 ± 0.25%","Cov: 45.36 ± 0.76%
Acc: 33.42 ± 2.38%
Miss: 5.21 ± 0.49%","Cov: 54.24 ± 1.00%
Acc: 38.81 ± 2.17%
Miss: 8.87 ± 0.53%","Cov: 59.32 ± 0.94%
Acc: 36.01 ± 2.07%
Miss: 5.43 ± 0.30%","Cov: 66.77 ± 1.06%
Acc: 37.01 ± 1.99%
Miss: 5.23 ± 0.30%","Cov: 77.58 ± 1.03%
Acc: 40.55 ± 1.88%
Miss: 8.89 ± 0.54%","Cov: 85.89 ± 0.89%
Acc: 39.41 ± 1.84%
Miss: 6.00 ± 0.54%","Cov: 89.69 ± 0.77%
Acc: 39.68 ± 1.83%
Miss: 6.25 ± 0.55%","Cov: 91.80 ± 0.69%
Acc: 39.68 ± 1.83%
Miss: 6.02 ± 0.54%"
Class_3,"Cov: 25.88 ± 1.08%
Acc: 23.11 ± 2.07%
Miss: 0.84 ± 0.20%","Cov: 25.88 ± 1.08%
Acc: 23.11 ± 2.07%
Miss: 0.84 ± 0.20%","Cov: 25.88 ± 1.08%
Acc: 23.11 ± 2.07%
Miss: 0.84 ± 0.20%","Cov: 42.51 ± 1.49%
Acc: 36.37 ± 1.95%
Miss: 7.46 ± 0.56%","Cov: 50.65 ± 1.49%
Acc: 37.08 ± 1.85%
Miss: 8.59 ± 0.63%","Cov: 56.94 ± 1.43%
Acc: 34.50 ± 1.73%
Miss: 6.79 ± 0.59%","Cov: 61.98 ± 1.30%
Acc: 32.57 ± 1.64%
Miss: 5.35 ± 0.52%","Cov: 66.72 ± 1.17%
Acc: 30.69 ± 1.59%
Miss: 2.98 ± 0.33%","Cov: 72.92 ± 0.94%
Acc: 28.99 ± 1.56%
Miss: 1.22 ± 0.24%","Cov: 80.91 ± 0.80%
Acc: 30.22 ± 1.49%
Miss: 1.45 ± 0.24%","Cov: 91.88 ± 0.74%
Acc: 33.91 ± 1.56%
Miss: 3.86 ± 0.35%","Cov: 94.42 ± 0.64%
Acc: 33.90 ± 1.59%
Miss: 4.12 ± 0.42%","Cov: 95.46 ± 0.58%
Acc: 33.70 ± 1.59%
Miss: 3.95 ± 0.46%"
Class_4,"Cov: 46.28 ± 1.71%
Acc: 57.82 ± 2.88%
Miss: 13.71 ± 1.17%","Cov: 46.28 ± 1.71%
Acc: 57.82 ± 2.88%
Miss: 13.71 ± 1.17%","Cov: 46.28 ± 1.71%
Acc: 57.82 ± 2.88%
Miss: 13.71 ± 1.17%","Cov: 57.24 ± 1.41%
Acc: 49.90 ± 2.64%
Miss: 10.38 ± 0.90%","Cov: 61.78 ± 1.35%
Acc: 46.90 ± 2.54%
Miss: 8.24 ± 0.81%","Cov: 68.05 ± 1.29%
Acc: 45.99 ± 2.44%
Miss: 7.36 ± 0.75%","Cov: 74.69 ± 1.18%
Acc: 47.01 ± 2.33%
Miss: 8.25 ± 0.86%","Cov: 79.76 ± 1.02%
Acc: 46.28 ± 2.24%
Miss: 6.91 ± 0.75%","Cov: 84.44 ± 0.81%
Acc: 43.73 ± 2.09%
Miss: 3.16 ± 0.39%","Cov: 88.08 ± 0.68%
Acc: 42.75 ± 2.04%
Miss: 2.23 ± 0.32%","Cov: 93.20 ± 0.50%
Acc: 42.47 ± 1.98%
Miss: 1.69 ± 0.27%","Cov: 94.84 ± 0.43%
Acc: 42.29 ± 1.97%
Miss: 1.44 ± 0.27%","Cov: 95.71 ± 0.39%
Acc: 42.21 ± 1.96%
Miss: 1.33 ± 0.25%"
Class_5,"Cov: 35.51 ± 1.35%
Acc: 64.73 ± 3.11%
Miss: 11.12 ± 0.87%","Cov: 35.51 ± 1.35%
Acc: 64.73 ± 3.11%
Miss: 11.12 ± 0.87%","Cov: 35.51 ± 1.35%
Acc: 64.73 ± 3.11%
Miss: 11.12 ± 0.87%","Cov: 56.00 ± 1.53%
Acc: 65.62 ± 2.71%
Miss: 22.55 ± 1.10%","Cov: 62.99 ± 1.51%
Acc: 62.23 ± 2.59%
Miss: 20.82 ± 1.12%","Cov: 67.71 ± 1.40%
Acc: 58.26 ± 2.50%
Miss: 16.74 ± 1.01%","Cov: 71.68 ± 1.30%
Acc: 55.26 ± 2.46%
Miss: 13.31 ± 0.93%","Cov: 75.61 ± 1.18%
Acc: 52.96 ± 2.42%
Miss: 10.36 ± 0.73%","Cov: 82.00 ± 0.98%
Acc: 51.47 ± 2.41%
Miss: 8.18 ± 0.51%","Cov: 88.25 ± 0.83%
Acc: 50.48 ± 2.33%
Miss: 6.89 ± 0.55%","Cov: 92.93 ± 0.63%
Acc: 48.67 ± 2.22%
Miss: 3.85 ± 0.39%","Cov: 94.44 ± 0.55%
Acc: 48.25 ± 2.20%
Miss: 3.16 ± 0.37%","Cov: 95.27 ± 0.50%
Acc: 48.04 ± 2.19%
Miss: 2.83 ± 0.35%"
Class_6,"Cov: 24.46 ± 2.11%
Acc: 86.82 ± 3.69%
Miss: 0.00 ± 0.00%","Cov: 24.46 ± 2.11%
Acc: 86.82 ± 3.69%
Miss: 0.00 ± 0.00%","Cov: 24.46 ± 2.11%
Acc: 86.82 ± 3.69%
Miss: 0.00 ± 0.00%","Cov: 34.45 ± 1.80%
Acc: 88.47 ± 3.09%
Miss: 0.00 ± 0.00%","Cov: 53.10 ± 1.63%
Acc: 92.32 ± 0.58%
Miss: 0.00 ± 0.00%","Cov: 64.84 ± 0.93%
Acc: 92.76 ± 0.36%
Miss: 0.00 ± 0.00%","Cov: 68.75 ± 0.84%
Acc: 92.55 ± 0.34%
Miss: 0.00 ± 0.00%","Cov: 71.92 ± 0.79%
Acc: 91.98 ± 0.31%
Miss: 0.00 ± 0.00%","Cov: 75.32 ± 0.73%
Acc: 91.61 ± 0.31%
Miss: 0.00 ± 0.00%","Cov: 81.75 ± 0.53%
Acc: 91.87 ± 0.29%
Miss: 0.00 ± 0.00%","Cov: 90.46 ± 0.23%
Acc: 92.14 ± 0.23%
Miss: 0.00 ± 0.00%","Cov: 92.95 ± 0.29%
Acc: 92.25 ± 0.23%
Miss: 0.01 ± 0.01%","Cov: 94.56 ± 0.34%
Acc: 92.31 ± 0.23%
Miss: 0.02 ± 0.01%"
Class_7,"Cov: 12.95 ± 0.69%
Acc: 15.85 ± 2.23%
Miss: 0.00 ± 0.00%","Cov: 12.95 ± 0.69%
Acc: 15.85 ± 2.23%
Miss: 0.00 ± 0.00%","Cov: 12.95 ± 0.69%
Acc: 15.85 ± 2.23%
Miss: 0.00 ± 0.00%","Cov: 19.31 ± 0.90%
Acc: 14.76 ± 1.97%
Miss: 0.01 ± 0.01%","Cov: 23.44 ± 0.97%
Acc: 13.02 ± 1.62%
Miss: 0.00 ± 0.00%","Cov: 30.51 ± 1.11%
Acc: 22.34 ± 2.08%
Miss: 0.16 ± 0.07%","Cov: 40.44 ± 1.11%
Acc: 35.23 ± 2.38%
Miss: 1.07 ± 0.21%","Cov: 47.23 ± 1.11%
Acc: 37.41 ± 2.45%
Miss: 0.90 ± 0.13%","Cov: 59.12 ± 1.13%
Acc: 43.16 ± 2.36%
Miss: 1.09 ± 0.18%","Cov: 77.32 ± 0.94%
Acc: 52.42 ± 2.07%
Miss: 4.93 ± 0.61%","Cov: 82.33 ± 0.68%
Acc: 49.35 ± 2.05%
Miss: 2.04 ± 0.28%","Cov: 84.51 ± 0.60%
Acc: 48.44 ± 2.05%
Miss: 1.34 ± 0.19%","Cov: 85.81 ± 0.55%
Acc: 47.97 ± 2.05%
Miss: 1.05 ± 0.17%"
Class_8,"Cov: 28.32 ± 1.16%
Acc: 37.32 ± 2.96%
Miss: 2.91 ± 0.52%","Cov: 28.32 ± 1.16%
Acc: 37.32 ± 2.96%
Miss: 2.91 ± 0.52%","Cov: 28.32 ± 1.16%
Acc: 37.32 ± 2.96%
Miss: 2.91 ± 0.52%","Cov: 36.76 ± 1.23%
Acc: 30.17 ± 2.60%
Miss: 2.19 ± 0.40%","Cov: 45.29 ± 1.39%
Acc: 34.32 ± 2.48%
Miss: 3.52 ± 0.48%","Cov: 54.80 ± 1.35%
Acc: 37.17 ± 2.38%
Miss: 4.86 ± 0.50%","Cov: 61.11 ± 1.26%
Acc: 37.21 ± 2.22%
Miss: 4.67 ± 0.45%","Cov: 66.21 ± 1.16%
Acc: 35.97 ± 2.13%
Miss: 2.92 ± 0.31%","Cov: 73.03 ± 0.82%
Acc: 35.39 ± 2.07%
Miss: 1.53 ± 0.24%","Cov: 79.82 ± 0.72%
Acc: 36.62 ± 1.94%
Miss: 1.77 ± 0.28%","Cov: 86.54 ± 0.53%
Acc: 36.86 ± 1.83%
Miss: 1.23 ± 0.25%","Cov: 90.03 ± 0.52%
Acc: 37.95 ± 1.73%
Miss: 2.07 ± 0.39%","Cov: 92.09 ± 0.55%
Acc: 38.51 ± 1.70%
Miss: 2.44 ± 0.38%"
Class_9,"Cov: 12.38 ± 0.85%
Acc: 5.27 ± 1.26%
Miss: 0.00 ± 0.00%","Cov: 12.38 ± 0.85%
Acc: 5.27 ± 1.26%
Miss: 0.00 ± 0.00%","Cov: 12.38 ± 0.85%
Acc: 5.27 ± 1.26%
Miss: 0.00 ± 0.00%","Cov: 23.57 ± 1.10%
Acc: 26.80 ± 3.46%
Miss: 0.37 ± 0.10%","Cov: 31.56 ± 1.24%
Acc: 34.09 ± 3.46%
Miss: 1.56 ± 0.24%","Cov: 35.15 ± 1.28%
Acc: 31.75 ± 3.28%
Miss: 1.38 ± 0.22%","Cov: 38.33 ± 1.24%
Acc: 29.74 ± 3.15%
Miss: 1.21 ± 0.19%","Cov: 45.08 ± 1.22%
Acc: 31.88 ± 3.04%
Miss: 1.62 ± 0.23%","Cov: 55.01 ± 1.03%
Acc: 34.33 ± 2.90%
Miss: 2.00 ± 0.23%","Cov: 64.70 ± 0.68%
Acc: 33.96 ± 2.68%
Miss: 0.91 ± 0.12%","Cov: 82.75 ± 0.73%
Acc: 40.02 ± 2.12%
Miss: 2.90 ± 0.22%","Cov: 89.73 ± 0.69%
Acc: 40.42 ± 1.95%
Miss: 2.61 ± 0.24%","Cov: 93.12 ± 0.59%
Acc: 40.36 ± 1.90%
Miss: 2.36 ± 0.23%"
Class_10,"Cov: 19.80 ± 1.12%
Acc: 52.98 ± 3.21%
Miss: 3.28 ± 0.49%","Cov: 19.80 ± 1.12%
Acc: 52.98 ± 3.21%
Miss: 3.28 ± 0.49%","Cov: 19.80 ± 1.12%
Acc: 52.98 ± 3.21%
Miss: 3.28 ± 0.49%","Cov: 32.84 ± 1.35%
Acc: 55.76 ± 2.44%
Miss: 7.60 ± 0.70%","Cov: 38.47 ± 1.29%
Acc: 53.69 ± 2.33%
Miss: 7.87 ± 0.69%","Cov: 42.57 ± 1.20%
Acc: 48.52 ± 2.23%
Miss: 5.72 ± 0.54%","Cov: 48.01 ± 1.17%
Acc: 47.13 ± 2.16%
Miss: 5.30 ± 0.51%","Cov: 53.47 ± 1.09%
Acc: 45.90 ± 2.06%
Miss: 4.13 ± 0.41%","Cov: 58.89 ± 0.92%
Acc: 42.20 ± 2.02%
Miss: 2.00 ± 0.30%","Cov: 68.37 ± 0.90%
Acc: 43.23 ± 1.86%
Miss: 2.13 ± 0.29%","Cov: 84.96 ± 0.94%
Acc: 48.69 ± 1.68%
Miss: 3.45 ± 0.34%","Cov: 87.82 ± 0.88%
Acc: 48.29 ± 1.68%
Miss: 2.70 ± 0.29%","Cov: 89.52 ± 0.85%
Acc: 48.18 ± 1.68%
Miss: 2.41 ± 0.28%"
Class_11,"Cov: 45.87 ± 2.24%
Acc: 68.98 ± 1.82%
Miss: 11.23 ± 0.80%","Cov: 45.87 ± 2.24%
Acc: 68.98 ± 1.82%
Miss: 11.23 ± 0.80%","Cov: 45.87 ± 2.24%
Acc: 68.98 ± 1.82%
Miss: 11.23 ± 0.80%","Cov: 56.88 ± 1.88%
Acc: 63.40 ± 1.89%
Miss: 11.13 ± 0.69%","Cov: 62.29 ± 1.81%
Acc: 59.53 ± 1.78%
Miss: 8.77 ± 0.60%","Cov: 68.04 ± 1.59%
Acc: 56.74 ± 1.72%
Miss: 6.82 ± 0.51%","Cov: 72.36 ± 1.49%
Acc: 55.23 ± 1.73%
Miss: 5.73 ± 0.46%","Cov: 76.56 ± 1.43%
Acc: 53.44 ± 1.68%
Miss: 3.83 ± 0.36%","Cov: 82.21 ± 1.16%
Acc: 52.07 ± 1.65%
Miss: 2.32 ± 0.30%","Cov: 87.32 ± 0.77%
Acc: 51.32 ± 1.69%
Miss: 1.79 ± 0.28%","Cov: 91.42 ± 0.53%
Acc: 49.72 ± 1.72%
Miss: 0.52 ± 0.07%","Cov: 92.60 ± 0.45%
Acc: 49.29 ± 1.73%
Miss: 0.30 ± 0.04%","Cov: 93.23 ± 0.40%
Acc: 49.10 ± 1.73%
Miss: 0.20 ± 0.03%"
Class_12,"Cov: 17.45 ± 1.58%
Acc: 63.82 ± 5.08%
Miss: 0.55 ± 0.26%","Cov: 17.45 ± 1.58%
Acc: 63.82 ± 5.08%
Miss: 0.55 ± 0.26%","Cov: 17.45 ± 1.58%
Acc: 63.82 ± 5.08%
Miss: 0.55 ± 0.26%","Cov: 25.06 ± 1.59%
Acc: 52.24 ± 5.15%
Miss: 0.08 ± 0.04%","Cov: 30.13 ± 1.65%
Acc: 48.49 ± 5.12%
Miss: 0.07 ± 0.03%","Cov: 33.00 ± 1.63%
Acc: 47.61 ± 4.93%
Miss: 0.05 ± 0.03%","Cov: 35.44 ± 1.64%
Acc: 46.58 ± 4.77%
Miss: 0.02 ± 0.02%","Cov: 41.23 ± 1.61%
Acc: 47.45 ± 4.60%
Miss: 0.00 ± 0.00%","Cov: 51.14 ± 1.35%
Acc: 51.68 ± 4.27%
Miss: 0.00 ± 0.00%","Cov: 62.14 ± 0.95%
Acc: 56.65 ± 3.83%
Miss: 0.01 ± 0.01%","Cov: 75.27 ± 0.69%
Acc: 58.16 ± 3.50%
Miss: 0.00 ± 0.00%","Cov: 83.16 ± 0.53%
Acc: 60.29 ± 3.29%
Miss: 0.03 ± 0.03%","Cov: 87.35 ± 0.45%
Acc: 61.19 ± 3.21%
Miss: 0.10 ± 0.05%"
Class_13,"Cov: 26.26 ± 1.78%
Acc: 60.54 ± 4.25%
Miss: 0.16 ± 0.06%","Cov: 26.26 ± 1.78%
Acc: 60.54 ± 4.25%
Miss: 0.16 ± 0.06%","Cov: 26.26 ± 1.78%
Acc: 60.54 ± 4.25%
Miss: 0.16 ± 0.06%","Cov: 49.38 ± 1.79%
Acc: 72.35 ± 2.18%
Miss: 1.28 ± 0.28%","Cov: 56.99 ± 1.56%
Acc: 72.38 ± 1.87%
Miss: 1.51 ± 0.32%","Cov: 60.05 ± 1.53%
Acc: 69.89 ± 1.80%
Miss: 1.11 ± 0.22%","Cov: 68.13 ± 1.33%
Acc: 70.86 ± 1.43%
Miss: 1.34 ± 0.23%","Cov: 76.68 ± 1.11%
Acc: 71.36 ± 1.18%
Miss: 1.18 ± 0.17%","Cov: 81.39 ± 1.03%
Acc: 69.90 ± 1.12%
Miss: 0.53 ± 0.11%","Cov: 84.06 ± 1.00%
Acc: 68.66 ± 1.13%
Miss: 0.28 ± 0.07%","Cov: 88.12 ± 0.88%
Acc: 67.67 ± 1.08%
Miss: 0.01 ± 0.01%","Cov: 90.53 ± 0.82%
Acc: 67.89 ± 1.02%
Miss: 0.02 ± 0.01%","Cov: 92.07 ± 0.75%
Acc: 68.12 ± 0.98%
Miss: 0.04 ± 0.02%"
