,Distance_0.01,Distance_0.025,Distance_0.05,Distance_0.075,Distance_0.1,Distance_0.125,Distance_0.15,Distance_0.175,Distance_0.2,Distance_0.225,Distance_0.25,Distance_0.275,Distance_0.3
Class_10,"Cov: 1.48%
Acc: 58.92%","Cov: 3.31%
Acc: 39.98%","Cov: 8.14%
Acc: 24.67%","Cov: 14.75%
Acc: 19.13%","Cov: 22.96%
Acc: 17.59%","Cov: 32.20%
Acc: 15.99%","Cov: 40.41%
Acc: 15.22%","Cov: 49.28%
Acc: 14.58%","Cov: 57.29%
Acc: 14.01%","Cov: 63.56%
Acc: 13.66%","Cov: 68.57%
Acc: 13.44%","Cov: 73.65%
Acc: 13.27%","Cov: 77.76%
Acc: 13.17%"
Class_11,"Cov: 6.35%
Acc: 81.00%","Cov: 8.15%
Acc: 66.36%","Cov: 12.53%
Acc: 53.47%","Cov: 17.35%
Acc: 43.16%","Cov: 24.93%
Acc: 37.61%","Cov: 32.70%
Acc: 31.97%","Cov: 40.27%
Acc: 29.56%","Cov: 48.51%
Acc: 26.68%","Cov: 56.14%
Acc: 25.17%","Cov: 61.84%
Acc: 24.18%","Cov: 67.66%
Acc: 24.32%","Cov: 72.65%
Acc: 23.73%","Cov: 77.05%
Acc: 22.94%"
Class_12,"Cov: 1.01%
Acc: 85.01%","Cov: 2.09%
Acc: 67.33%","Cov: 5.21%
Acc: 54.11%","Cov: 9.73%
Acc: 46.88%","Cov: 15.55%
Acc: 42.00%","Cov: 25.71%
Acc: 34.23%","Cov: 36.52%
Acc: 29.46%","Cov: 46.89%
Acc: 27.27%","Cov: 55.94%
Acc: 26.19%","Cov: 63.55%
Acc: 25.44%","Cov: 69.13%
Acc: 25.01%","Cov: 73.62%
Acc: 24.64%","Cov: 76.39%
Acc: 24.40%"
Class_13,"Cov: 1.91%
Acc: 60.13%","Cov: 6.28%
Acc: 57.89%","Cov: 15.50%
Acc: 48.32%","Cov: 27.55%
Acc: 40.44%","Cov: 40.46%
Acc: 36.74%","Cov: 52.77%
Acc: 33.97%","Cov: 62.46%
Acc: 32.04%","Cov: 71.14%
Acc: 30.11%","Cov: 77.85%
Acc: 28.56%","Cov: 82.40%
Acc: 27.61%","Cov: 85.66%
Acc: 26.92%","Cov: 88.02%
Acc: 26.38%","Cov: 89.72%
Acc: 26.01%"
Class_14,"Cov: 1.78%
Acc: 55.76%","Cov: 3.59%
Acc: 38.01%","Cov: 8.31%
Acc: 29.54%","Cov: 15.10%
Acc: 25.23%","Cov: 27.48%
Acc: 22.27%","Cov: 41.94%
Acc: 19.98%","Cov: 53.41%
Acc: 18.89%","Cov: 64.71%
Acc: 17.68%","Cov: 73.31%
Acc: 16.79%","Cov: 79.18%
Acc: 16.17%","Cov: 83.43%
Acc: 15.77%","Cov: 86.44%
Acc: 15.45%","Cov: 88.64%
Acc: 15.20%"
Class_15,"Cov: 0.58%
Acc: 48.54%","Cov: 1.65%
Acc: 51.66%","Cov: 5.00%
Acc: 57.24%","Cov: 10.36%
Acc: 58.00%","Cov: 17.42%
Acc: 57.65%","Cov: 26.05%
Acc: 55.48%","Cov: 34.15%
Acc: 54.98%","Cov: 42.08%
Acc: 54.05%","Cov: 51.24%
Acc: 51.44%","Cov: 58.74%
Acc: 49.87%","Cov: 65.01%
Acc: 48.96%","Cov: 70.69%
Acc: 48.01%","Cov: 75.82%
Acc: 47.00%"
Class_16,"Cov: 4.10%
Acc: 86.50%","Cov: 5.89%
Acc: 79.50%","Cov: 13.18%
Acc: 75.50%","Cov: 20.15%
Acc: 71.64%","Cov: 26.80%
Acc: 67.05%","Cov: 33.10%
Acc: 61.16%","Cov: 39.03%
Acc: 57.28%","Cov: 45.23%
Acc: 54.06%","Cov: 51.46%
Acc: 50.38%","Cov: 57.01%
Acc: 48.10%","Cov: 61.47%
Acc: 46.62%","Cov: 64.85%
Acc: 45.41%","Cov: 67.81%
Acc: 44.90%"
Class_17,"Cov: 3.43%
Acc: 69.79%","Cov: 6.55%
Acc: 57.49%","Cov: 14.80%
Acc: 43.72%","Cov: 25.79%
Acc: 37.37%","Cov: 38.97%
Acc: 35.17%","Cov: 50.45%
Acc: 32.38%","Cov: 58.94%
Acc: 30.20%","Cov: 66.13%
Acc: 28.92%","Cov: 72.23%
Acc: 27.66%","Cov: 76.43%
Acc: 27.02%","Cov: 79.98%
Acc: 26.37%","Cov: 82.94%
Acc: 25.88%","Cov: 85.08%
Acc: 25.51%"
Class_18,"Cov: 14.63%
Acc: 90.55%","Cov: 22.11%
Acc: 85.34%","Cov: 34.02%
Acc: 77.62%","Cov: 40.64%
Acc: 70.63%","Cov: 48.01%
Acc: 64.90%","Cov: 55.71%
Acc: 59.88%","Cov: 61.19%
Acc: 56.06%","Cov: 69.15%
Acc: 53.83%","Cov: 74.51%
Acc: 51.06%","Cov: 78.23%
Acc: 49.18%","Cov: 81.15%
Acc: 47.74%","Cov: 83.73%
Acc: 46.65%","Cov: 85.70%
Acc: 45.87%"
Class_19,"Cov: 1.33%
Acc: 49.88%","Cov: 3.12%
Acc: 43.72%","Cov: 7.45%
Acc: 35.12%","Cov: 12.64%
Acc: 32.72%","Cov: 19.18%
Acc: 31.70%","Cov: 30.49%
Acc: 30.20%","Cov: 40.28%
Acc: 28.50%","Cov: 49.79%
Acc: 26.41%","Cov: 56.97%
Acc: 24.79%","Cov: 61.39%
Acc: 24.07%","Cov: 64.35%
Acc: 23.89%","Cov: 66.68%
Acc: 23.87%","Cov: 68.95%
Acc: 23.77%"
