,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Sample_10,"Cov: 3.22 ± 0.24%
Acc: 92.99 ± 0.74%","Cov: 9.25 ± 0.31%
Acc: 84.91 ± 0.92%","Cov: 13.94 ± 0.33%
Acc: 79.60 ± 0.81%","Cov: 19.72 ± 0.28%
Acc: 74.50 ± 0.57%","Cov: 25.75 ± 0.30%
Acc: 69.32 ± 0.50%","Cov: 35.84 ± 0.30%
Acc: 62.92 ± 0.43%","Cov: 44.23 ± 0.31%
Acc: 59.71 ± 0.42%","Cov: 55.59 ± 0.31%
Acc: 57.18 ± 0.41%","Cov: 66.69 ± 0.28%
Acc: 56.07 ± 0.43%","Cov: 75.73 ± 0.24%
Acc: 55.79 ± 0.44%","Cov: 84.03 ± 0.22%
Acc: 55.82 ± 0.43%","Cov: 92.81 ± 0.17%
Acc: 55.96 ± 0.43%","Cov: 97.10 ± 0.11%
Acc: 55.97 ± 0.43%"
Sample_100,"Cov: 6.84 ± 0.06%
Acc: 87.94 ± 0.25%","Cov: 6.84 ± 0.06%
Acc: 87.94 ± 0.25%","Cov: 11.05 ± 0.08%
Acc: 85.66 ± 0.26%","Cov: 19.87 ± 0.10%
Acc: 82.21 ± 0.22%","Cov: 28.88 ± 0.10%
Acc: 79.52 ± 0.21%","Cov: 39.04 ± 0.09%
Acc: 75.52 ± 0.15%","Cov: 49.80 ± 0.11%
Acc: 71.72 ± 0.14%","Cov: 58.26 ± 0.11%
Acc: 69.69 ± 0.14%","Cov: 68.31 ± 0.11%
Acc: 68.04 ± 0.14%","Cov: 77.97 ± 0.10%
Acc: 67.11 ± 0.14%","Cov: 88.04 ± 0.09%
Acc: 66.78 ± 0.14%","Cov: 93.93 ± 0.07%
Acc: 66.80 ± 0.13%","Cov: 99.04 ± 0.03%
Acc: 66.86 ± 0.13%"
Sample_1000,"Cov: 14.88 ± 0.05%
Acc: 86.94 ± 0.09%","Cov: 14.88 ± 0.05%
Acc: 86.94 ± 0.09%","Cov: 14.88 ± 0.05%
Acc: 86.94 ± 0.09%","Cov: 20.89 ± 0.04%
Acc: 84.93 ± 0.07%","Cov: 30.48 ± 0.06%
Acc: 85.89 ± 0.07%","Cov: 40.50 ± 0.06%
Acc: 85.12 ± 0.06%","Cov: 49.97 ± 0.06%
Acc: 83.19 ± 0.05%","Cov: 59.95 ± 0.06%
Acc: 80.88 ± 0.05%","Cov: 69.64 ± 0.06%
Acc: 79.13 ± 0.05%","Cov: 79.06 ± 0.05%
Acc: 77.76 ± 0.05%","Cov: 89.13 ± 0.04%
Acc: 76.72 ± 0.06%","Cov: 94.42 ± 0.03%
Acc: 76.41 ± 0.06%","Cov: 98.86 ± 0.01%
Acc: 76.22 ± 0.06%"
