,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Sample_10,"Cov: 3.32 ± 0.24%
Acc: 93.20 ± 0.72%","Cov: 8.23 ± 0.29%
Acc: 92.47 ± 0.53%","Cov: 13.95 ± 0.30%
Acc: 91.52 ± 0.42%","Cov: 23.43 ± 0.32%
Acc: 89.54 ± 0.30%","Cov: 31.02 ± 0.37%
Acc: 86.70 ± 0.32%","Cov: 44.27 ± 0.42%
Acc: 80.86 ± 0.37%","Cov: 53.88 ± 0.42%
Acc: 76.88 ± 0.40%","Cov: 62.03 ± 0.41%
Acc: 73.95 ± 0.42%","Cov: 68.28 ± 0.38%
Acc: 71.83 ± 0.44%","Cov: 78.08 ± 0.30%
Acc: 68.75 ± 0.45%","Cov: 90.39 ± 0.20%
Acc: 64.97 ± 0.44%","Cov: 94.23 ± 0.17%
Acc: 63.77 ± 0.43%","Cov: 98.14 ± 0.09%
Acc: 62.54 ± 0.42%"
Sample_100,"Cov: 5.92 ± 0.06%
Acc: 86.79 ± 0.40%","Cov: 5.92 ± 0.06%
Acc: 86.79 ± 0.40%","Cov: 11.06 ± 0.07%
Acc: 87.32 ± 0.26%","Cov: 20.04 ± 0.11%
Acc: 86.31 ± 0.21%","Cov: 30.33 ± 0.11%
Acc: 86.76 ± 0.16%","Cov: 41.23 ± 0.11%
Acc: 86.36 ± 0.13%","Cov: 50.35 ± 0.12%
Acc: 85.23 ± 0.13%","Cov: 61.00 ± 0.14%
Acc: 82.91 ± 0.12%","Cov: 70.99 ± 0.14%
Acc: 80.21 ± 0.12%","Cov: 80.42 ± 0.12%
Acc: 77.31 ± 0.12%","Cov: 89.00 ± 0.09%
Acc: 74.40 ± 0.12%","Cov: 95.01 ± 0.06%
Acc: 72.18 ± 0.12%","Cov: 99.02 ± 0.02%
Acc: 70.50 ± 0.11%"
Sample_1000,"Cov: 13.47 ± 0.04%
Acc: 84.97 ± 0.10%","Cov: 13.47 ± 0.04%
Acc: 84.97 ± 0.10%","Cov: 13.47 ± 0.04%
Acc: 84.97 ± 0.10%","Cov: 21.57 ± 0.04%
Acc: 86.32 ± 0.07%","Cov: 30.71 ± 0.06%
Acc: 86.79 ± 0.06%","Cov: 41.25 ± 0.06%
Acc: 87.67 ± 0.05%","Cov: 51.93 ± 0.07%
Acc: 87.97 ± 0.05%","Cov: 62.02 ± 0.06%
Acc: 87.61 ± 0.04%","Cov: 71.71 ± 0.06%
Acc: 86.65 ± 0.04%","Cov: 81.43 ± 0.05%
Acc: 84.60 ± 0.04%","Cov: 91.15 ± 0.04%
Acc: 81.57 ± 0.04%","Cov: 95.61 ± 0.02%
Acc: 79.77 ± 0.05%","Cov: 99.24 ± 0.01%
Acc: 78.06 ± 0.05%"
