,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_9,"Cov: 13.81%
Acc: 90.90%
Miss: 0.40%","Cov: 21.84%
Acc: 90.10%
Miss: 1.29%","Cov: 34.74%
Acc: 90.79%
Miss: 3.80%","Cov: 46.23%
Acc: 88.72%
Miss: 6.37%","Cov: 56.02%
Acc: 86.41%
Miss: 9.35%","Cov: 64.69%
Acc: 79.90%
Miss: 8.96%","Cov: 75.29%
Acc: 73.02%
Miss: 8.12%","Cov: 86.92%
Acc: 65.86%
Miss: 5.45%","Cov: 96.14%
Acc: 60.44%
Miss: 1.27%","Cov: 99.13%
Acc: 59.08%
Miss: 0.42%","Cov: 99.94%
Acc: 58.65%
Miss: 0.00%"
Class_10,"Cov: 4.48%
Acc: 70.71%
Miss: 0.00%","Cov: 10.68%
Acc: 78.41%
Miss: 0.00%","Cov: 20.69%
Acc: 79.16%
Miss: 0.00%","Cov: 34.76%
Acc: 79.13%
Miss: 0.02%","Cov: 43.35%
Acc: 74.71%
Miss: 0.01%","Cov: 63.89%
Acc: 76.08%
Miss: 0.08%","Cov: 78.84%
Acc: 74.37%
Miss: 0.12%","Cov: 90.98%
Acc: 72.19%
Miss: 0.11%","Cov: 98.51%
Acc: 71.25%
Miss: 0.19%","Cov: 99.64%
Acc: 70.93%
Miss: 0.26%","Cov: 100.00%
Acc: 70.71%
Miss: 0.00%"
Class_11,"Cov: 13.95%
Acc: 82.25%
Miss: 0.01%","Cov: 25.86%
Acc: 82.57%
Miss: 0.02%","Cov: 36.92%
Acc: 82.21%
Miss: 0.15%","Cov: 50.59%
Acc: 79.47%
Miss: 0.21%","Cov: 66.65%
Acc: 78.79%
Miss: 1.34%","Cov: 74.68%
Acc: 74.12%
Miss: 1.24%","Cov: 83.19%
Acc: 69.94%
Miss: 0.77%","Cov: 92.35%
Acc: 65.97%
Miss: 0.65%","Cov: 97.81%
Acc: 63.31%
Miss: 0.16%","Cov: 99.59%
Acc: 62.83%
Miss: 0.22%","Cov: 99.97%
Acc: 62.59%
Miss: 0.00%"
Class_12,"Cov: 14.06%
Acc: 71.43%
Miss: 0.16%","Cov: 25.03%
Acc: 74.54%
Miss: 0.17%","Cov: 31.34%
Acc: 70.77%
Miss: 0.08%","Cov: 39.51%
Acc: 71.00%
Miss: 0.10%","Cov: 45.87%
Acc: 69.00%
Miss: 0.00%","Cov: 59.34%
Acc: 72.41%
Miss: 0.00%","Cov: 70.94%
Acc: 72.57%
Miss: 0.00%","Cov: 83.37%
Acc: 72.95%
Miss: 0.00%","Cov: 94.77%
Acc: 73.70%
Miss: 0.01%","Cov: 99.27%
Acc: 74.00%
Miss: 0.05%","Cov: 99.92%
Acc: 73.55%
Miss: 0.00%"
Class_13,"Cov: 9.51%
Acc: 77.67%
Miss: 0.02%","Cov: 28.36%
Acc: 87.06%
Miss: 0.11%","Cov: 40.36%
Acc: 86.90%
Miss: 0.07%","Cov: 53.00%
Acc: 85.69%
Miss: 0.02%","Cov: 67.11%
Acc: 85.71%
Miss: 0.02%","Cov: 75.31%
Acc: 83.33%
Miss: 0.01%","Cov: 86.86%
Acc: 81.87%
Miss: 0.36%","Cov: 92.79%
Acc: 77.86%
Miss: 0.25%","Cov: 97.36%
Acc: 74.97%
Miss: 0.11%","Cov: 98.90%
Acc: 74.04%
Miss: 0.11%","Cov: 99.96%
Acc: 73.54%
Miss: 0.00%"
Class_14,"Cov: 16.80%
Acc: 82.67%
Miss: 0.25%","Cov: 31.38%
Acc: 87.04%
Miss: 0.49%","Cov: 42.77%
Acc: 87.15%
Miss: 1.11%","Cov: 55.37%
Acc: 85.24%
Miss: 2.13%","Cov: 64.63%
Acc: 82.34%
Miss: 2.99%","Cov: 72.80%
Acc: 77.08%
Miss: 2.39%","Cov: 82.87%
Acc: 72.26%
Miss: 1.79%","Cov: 92.03%
Acc: 67.70%
Miss: 1.18%","Cov: 97.87%
Acc: 64.53%
Miss: 0.31%","Cov: 99.43%
Acc: 63.90%
Miss: 0.25%","Cov: 99.98%
Acc: 63.58%
Miss: 0.00%"
Class_15,"Cov: 8.63%
Acc: 80.11%
Miss: 0.07%","Cov: 17.54%
Acc: 85.30%
Miss: 0.03%","Cov: 33.36%
Acc: 89.68%
Miss: 0.08%","Cov: 46.93%
Acc: 89.65%
Miss: 0.19%","Cov: 58.61%
Acc: 88.92%
Miss: 0.21%","Cov: 70.63%
Acc: 87.22%
Miss: 0.17%","Cov: 78.82%
Acc: 84.69%
Miss: 0.05%","Cov: 90.81%
Acc: 82.20%
Miss: 0.09%","Cov: 97.08%
Acc: 80.05%
Miss: 0.16%","Cov: 98.82%
Acc: 79.27%
Miss: 0.18%","Cov: 99.97%
Acc: 78.88%
Miss: 0.00%"
Class_16,"Cov: 22.13%
Acc: 90.42%
Miss: 0.01%","Cov: 27.98%
Acc: 87.87%
Miss: 0.00%","Cov: 39.91%
Acc: 88.78%
Miss: 0.02%","Cov: 47.24%
Acc: 86.74%
Miss: 0.01%","Cov: 58.77%
Acc: 85.84%
Miss: 0.01%","Cov: 70.13%
Acc: 84.18%
Miss: 0.02%","Cov: 82.84%
Acc: 82.53%
Miss: 0.22%","Cov: 91.74%
Acc: 79.43%
Miss: 0.25%","Cov: 97.99%
Acc: 77.22%
Miss: 0.56%","Cov: 99.51%
Acc: 76.18%
Miss: 0.32%","Cov: 99.97%
Acc: 75.88%
Miss: 0.01%"
Class_17,"Cov: 18.56%
Acc: 87.95%
Miss: 0.02%","Cov: 25.75%
Acc: 86.34%
Miss: 0.00%","Cov: 36.97%
Acc: 86.44%
Miss: 0.00%","Cov: 47.40%
Acc: 85.07%
Miss: 0.02%","Cov: 58.65%
Acc: 83.89%
Miss: 0.03%","Cov: 72.60%
Acc: 82.57%
Miss: 0.02%","Cov: 79.65%
Acc: 80.35%
Miss: 0.01%","Cov: 92.70%
Acc: 79.51%
Miss: 0.07%","Cov: 98.76%
Acc: 78.33%
Miss: 0.19%","Cov: 99.60%
Acc: 78.04%
Miss: 0.28%","Cov: 99.93%
Acc: 78.05%
Miss: 0.04%"
Class_18,"Cov: 11.04%
Acc: 54.10%
Miss: 0.00%","Cov: 24.55%
Acc: 64.80%
Miss: 0.00%","Cov: 39.53%
Acc: 71.10%
Miss: 0.01%","Cov: 59.77%
Acc: 76.65%
Miss: 0.05%","Cov: 67.86%
Acc: 75.60%
Miss: 0.05%","Cov: 76.29%
Acc: 73.87%
Miss: 0.05%","Cov: 83.56%
Acc: 70.48%
Miss: 0.07%","Cov: 92.32%
Acc: 66.93%
Miss: 0.33%","Cov: 98.12%
Acc: 64.16%
Miss: 0.30%","Cov: 99.46%
Acc: 63.25%
Miss: 0.13%","Cov: 99.98%
Acc: 62.96%
Miss: 0.01%"
Class_19,"Cov: 10.51%
Acc: 74.55%
Miss: 0.02%","Cov: 19.37%
Acc: 78.24%
Miss: 0.02%","Cov: 26.89%
Acc: 77.35%
Miss: 0.00%","Cov: 44.76%
Acc: 80.00%
Miss: 0.02%","Cov: 55.16%
Acc: 77.80%
Miss: 0.07%","Cov: 68.88%
Acc: 76.98%
Miss: 0.79%","Cov: 75.24%
Acc: 71.90%
Miss: 0.34%","Cov: 88.58%
Acc: 67.64%
Miss: 1.41%","Cov: 96.15%
Acc: 63.63%
Miss: 1.00%","Cov: 98.52%
Acc: 62.09%
Miss: 0.71%","Cov: 99.94%
Acc: 61.27%
Miss: 0.04%"
