,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_9,"Cov: 39.22%
Acc: 31.65%
Miss: 14.98%","Cov: 58.91%
Acc: 21.72%
Miss: 10.55%","Cov: 64.17%
Acc: 20.25%
Miss: 10.91%","Cov: 75.41%
Acc: 17.66%
Miss: 7.50%","Cov: 81.49%
Acc: 16.55%
Miss: 5.58%","Cov: 85.10%
Acc: 16.05%
Miss: 4.47%","Cov: 89.69%
Acc: 15.76%
Miss: 4.08%","Cov: 93.27%
Acc: 15.27%
Miss: 3.91%","Cov: 97.18%
Acc: 14.68%
Miss: 1.61%","Cov: 98.14%
Acc: 14.53%
Miss: 1.12%","Cov: 98.43%
Acc: 14.49%
Miss: 0.99%"
Class_10,"Cov: 42.66%
Acc: 22.04%
Miss: 3.74%","Cov: 61.30%
Acc: 17.36%
Miss: 3.82%","Cov: 67.61%
Acc: 16.32%
Miss: 3.51%","Cov: 74.55%
Acc: 14.87%
Miss: 2.30%","Cov: 80.81%
Acc: 14.60%
Miss: 2.66%","Cov: 85.72%
Acc: 14.55%
Miss: 2.79%","Cov: 89.97%
Acc: 14.18%
Miss: 3.07%","Cov: 93.21%
Acc: 13.95%
Miss: 2.91%","Cov: 96.29%
Acc: 13.64%
Miss: 1.60%","Cov: 97.39%
Acc: 13.58%
Miss: 1.37%","Cov: 97.78%
Acc: 13.55%
Miss: 1.35%"
Class_11,"Cov: 45.44%
Acc: 29.20%
Miss: 0.73%","Cov: 64.26%
Acc: 27.51%
Miss: 2.31%","Cov: 69.91%
Acc: 26.37%
Miss: 2.42%","Cov: 76.85%
Acc: 24.42%
Miss: 2.56%","Cov: 84.14%
Acc: 22.58%
Miss: 2.24%","Cov: 87.91%
Acc: 21.73%
Miss: 1.67%","Cov: 92.03%
Acc: 20.94%
Miss: 1.29%","Cov: 94.83%
Acc: 20.52%
Miss: 1.18%","Cov: 97.45%
Acc: 20.18%
Miss: 0.87%","Cov: 98.12%
Acc: 20.09%
Miss: 0.88%","Cov: 98.27%
Acc: 20.06%
Miss: 0.95%"
Class_12,"Cov: 34.28%
Acc: 13.81%
Miss: 0.01%","Cov: 53.45%
Acc: 26.41%
Miss: 1.00%","Cov: 58.74%
Acc: 27.14%
Miss: 1.62%","Cov: 68.92%
Acc: 24.42%
Miss: 0.48%","Cov: 76.43%
Acc: 23.57%
Miss: 0.51%","Cov: 79.67%
Acc: 23.22%
Miss: 0.45%","Cov: 85.03%
Acc: 24.09%
Miss: 0.93%","Cov: 89.96%
Acc: 25.08%
Miss: 1.53%","Cov: 95.83%
Acc: 24.08%
Miss: 0.59%","Cov: 96.94%
Acc: 24.06%
Miss: 1.38%","Cov: 97.24%
Acc: 24.00%
Miss: 1.96%"
Class_13,"Cov: 45.22%
Acc: 6.88%
Miss: 0.00%","Cov: 73.48%
Acc: 25.90%
Miss: 0.55%","Cov: 80.35%
Acc: 29.28%
Miss: 4.09%","Cov: 85.14%
Acc: 27.81%
Miss: 3.74%","Cov: 88.15%
Acc: 26.87%
Miss: 3.21%","Cov: 91.29%
Acc: 26.00%
Miss: 2.08%","Cov: 93.91%
Acc: 25.33%
Miss: 1.28%","Cov: 96.05%
Acc: 24.78%
Miss: 0.73%","Cov: 98.58%
Acc: 24.46%
Miss: 0.34%","Cov: 99.06%
Acc: 24.37%
Miss: 0.66%","Cov: 99.15%
Acc: 24.35%
Miss: 0.70%"
Class_14,"Cov: 51.72%
Acc: 21.71%
Miss: 2.22%","Cov: 70.83%
Acc: 18.02%
Miss: 2.62%","Cov: 76.63%
Acc: 16.94%
Miss: 2.27%","Cov: 82.90%
Acc: 15.85%
Miss: 1.95%","Cov: 86.96%
Acc: 15.20%
Miss: 1.79%","Cov: 90.91%
Acc: 14.71%
Miss: 0.88%","Cov: 94.06%
Acc: 14.37%
Miss: 0.57%","Cov: 96.26%
Acc: 14.12%
Miss: 0.40%","Cov: 98.71%
Acc: 14.00%
Miss: 0.17%","Cov: 99.16%
Acc: 14.03%
Miss: 0.31%","Cov: 99.27%
Acc: 14.03%
Miss: 0.35%"
Class_15,"Cov: 20.79%
Acc: 6.92%
Miss: 0.00%","Cov: 44.52%
Acc: 33.83%
Miss: 0.14%","Cov: 52.92%
Acc: 36.06%
Miss: 0.26%","Cov: 76.52%
Acc: 46.21%
Miss: 1.46%","Cov: 84.24%
Acc: 46.59%
Miss: 3.66%","Cov: 87.58%
Acc: 45.16%
Miss: 3.79%","Cov: 91.93%
Acc: 43.25%
Miss: 2.98%","Cov: 95.27%
Acc: 41.83%
Miss: 2.03%","Cov: 98.06%
Acc: 40.69%
Miss: 0.94%","Cov: 98.56%
Acc: 40.53%
Miss: 1.00%","Cov: 98.68%
Acc: 40.49%
Miss: 1.03%"
Class_16,"Cov: 30.07%
Acc: 33.57%
Miss: 0.01%","Cov: 49.43%
Acc: 43.45%
Miss: 0.05%","Cov: 54.16%
Acc: 43.39%
Miss: 0.07%","Cov: 67.43%
Acc: 48.33%
Miss: 1.05%","Cov: 75.91%
Acc: 49.96%
Miss: 3.87%","Cov: 79.44%
Acc: 48.45%
Miss: 4.70%","Cov: 82.86%
Acc: 46.66%
Miss: 4.10%","Cov: 87.58%
Acc: 44.41%
Miss: 3.54%","Cov: 91.28%
Acc: 42.72%
Miss: 2.80%","Cov: 93.82%
Acc: 41.62%
Miss: 2.57%","Cov: 94.22%
Acc: 41.45%
Miss: 2.48%"
Class_17,"Cov: 52.05%
Acc: 28.35%
Miss: 0.60%","Cov: 69.61%
Acc: 25.85%
Miss: 0.48%","Cov: 74.89%
Acc: 26.16%
Miss: 0.72%","Cov: 80.73%
Acc: 26.94%
Miss: 2.02%","Cov: 85.09%
Acc: 25.98%
Miss: 2.32%","Cov: 88.76%
Acc: 24.92%
Miss: 1.19%","Cov: 91.34%
Acc: 24.65%
Miss: 1.04%","Cov: 94.99%
Acc: 25.59%
Miss: 0.81%","Cov: 97.65%
Acc: 25.67%
Miss: 0.33%","Cov: 97.98%
Acc: 25.60%
Miss: 0.31%","Cov: 98.14%
Acc: 25.58%
Miss: 0.31%"
Class_18,"Cov: 38.82%
Acc: 21.40%
Miss: 0.00%","Cov: 54.38%
Acc: 25.98%
Miss: 0.00%","Cov: 63.34%
Acc: 31.75%
Miss: 0.00%","Cov: 72.69%
Acc: 34.38%
Miss: 0.00%","Cov: 77.20%
Acc: 34.73%
Miss: 0.00%","Cov: 86.39%
Acc: 39.74%
Miss: 0.02%","Cov: 93.56%
Acc: 41.71%
Miss: 0.15%","Cov: 96.03%
Acc: 41.55%
Miss: 0.36%","Cov: 98.36%
Acc: 41.04%
Miss: 0.72%","Cov: 98.91%
Acc: 40.82%
Miss: 0.54%","Cov: 99.10%
Acc: 40.74%
Miss: 0.56%"
Class_19,"Cov: 46.60%
Acc: 39.69%
Miss: 10.21%","Cov: 59.67%
Acc: 31.60%
Miss: 5.53%","Cov: 64.84%
Acc: 30.61%
Miss: 5.18%","Cov: 70.06%
Acc: 29.15%
Miss: 4.39%","Cov: 75.21%
Acc: 29.21%
Miss: 6.15%","Cov: 78.88%
Acc: 28.80%
Miss: 6.18%","Cov: 83.29%
Acc: 27.52%
Miss: 4.92%","Cov: 88.60%
Acc: 26.17%
Miss: 4.16%","Cov: 94.76%
Acc: 24.57%
Miss: 1.39%","Cov: 95.95%
Acc: 24.28%
Miss: 0.90%","Cov: 96.36%
Acc: 24.23%
Miss: 0.81%"
