,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_9,"Cov: 5.73%
Acc: 18.31%
Miss: 0.00%","Cov: 18.21%
Acc: 53.21%
Miss: 0.50%","Cov: 28.69%
Acc: 55.63%
Miss: 1.54%","Cov: 35.07%
Acc: 53.23%
Miss: 1.63%","Cov: 45.99%
Acc: 47.53%
Miss: 0.97%","Cov: 53.80%
Acc: 43.51%
Miss: 0.31%","Cov: 59.27%
Acc: 44.18%
Miss: 0.45%","Cov: 69.81%
Acc: 47.21%
Miss: 1.19%","Cov: 84.98%
Acc: 46.45%
Miss: 0.62%","Cov: 97.96%
Acc: 46.92%
Miss: 0.34%","Cov: 99.17%
Acc: 46.65%
Miss: 0.42%"
Class_10,"Cov: 17.12%
Acc: 44.79%
Miss: 0.00%","Cov: 25.76%
Acc: 45.13%
Miss: 0.00%","Cov: 39.97%
Acc: 51.34%
Miss: 0.05%","Cov: 47.38%
Acc: 52.31%
Miss: 0.03%","Cov: 53.92%
Acc: 52.12%
Miss: 0.04%","Cov: 59.97%
Acc: 52.87%
Miss: 0.05%","Cov: 63.83%
Acc: 52.62%
Miss: 0.05%","Cov: 73.91%
Acc: 55.98%
Miss: 0.08%","Cov: 92.17%
Acc: 60.77%
Miss: 0.07%","Cov: 98.22%
Acc: 61.37%
Miss: 0.02%","Cov: 99.43%
Acc: 61.43%
Miss: 0.02%"
Class_11,"Cov: 26.86%
Acc: 59.89%
Miss: 0.03%","Cov: 49.52%
Acc: 69.91%
Miss: 0.91%","Cov: 64.97%
Acc: 71.77%
Miss: 4.20%","Cov: 70.85%
Acc: 70.40%
Miss: 5.67%","Cov: 77.24%
Acc: 68.33%
Miss: 7.53%","Cov: 81.71%
Acc: 66.72%
Miss: 9.35%","Cov: 84.60%
Acc: 64.89%
Miss: 9.12%","Cov: 88.15%
Acc: 62.61%
Miss: 7.74%","Cov: 94.59%
Acc: 58.53%
Miss: 3.17%","Cov: 97.95%
Acc: 56.66%
Miss: 1.32%","Cov: 99.02%
Acc: 56.08%
Miss: 0.71%"
Class_12,"Cov: 11.66%
Acc: 81.30%
Miss: 0.06%","Cov: 18.49%
Acc: 57.67%
Miss: 0.01%","Cov: 24.15%
Acc: 50.62%
Miss: 0.00%","Cov: 31.76%
Acc: 56.38%
Miss: 0.00%","Cov: 48.97%
Acc: 65.89%
Miss: 0.01%","Cov: 60.96%
Acc: 69.67%
Miss: 0.05%","Cov: 64.58%
Acc: 68.01%
Miss: 0.03%","Cov: 70.49%
Acc: 66.07%
Miss: 0.02%","Cov: 83.52%
Acc: 65.91%
Miss: 0.00%","Cov: 96.63%
Acc: 67.13%
Miss: 0.05%","Cov: 98.57%
Acc: 67.06%
Miss: 0.15%"
Class_13,"Cov: 6.64%
Acc: 19.21%
Miss: 0.00%","Cov: 28.25%
Acc: 69.99%
Miss: 0.02%","Cov: 43.15%
Acc: 74.28%
Miss: 0.05%","Cov: 72.67%
Acc: 82.90%
Miss: 0.21%","Cov: 84.65%
Acc: 82.26%
Miss: 2.16%","Cov: 87.63%
Acc: 80.50%
Miss: 3.33%","Cov: 90.07%
Acc: 78.52%
Miss: 2.95%","Cov: 92.77%
Acc: 76.28%
Miss: 1.91%","Cov: 96.71%
Acc: 73.28%
Miss: 0.55%","Cov: 98.65%
Acc: 71.99%
Miss: 0.15%","Cov: 99.36%
Acc: 71.53%
Miss: 0.06%"
Class_14,"Cov: 44.81%
Acc: 85.86%
Miss: 4.44%","Cov: 53.83%
Acc: 79.78%
Miss: 5.69%","Cov: 65.16%
Acc: 77.67%
Miss: 12.28%","Cov: 70.04%
Acc: 74.37%
Miss: 13.43%","Cov: 76.62%
Acc: 68.50%
Miss: 10.45%","Cov: 80.35%
Acc: 65.63%
Miss: 9.32%","Cov: 84.45%
Acc: 62.90%
Miss: 8.19%","Cov: 89.23%
Acc: 60.00%
Miss: 7.20%","Cov: 96.12%
Acc: 55.82%
Miss: 2.25%","Cov: 98.84%
Acc: 54.31%
Miss: 0.39%","Cov: 99.57%
Acc: 53.92%
Miss: 0.08%"
Class_15,"Cov: 5.44%
Acc: 37.25%
Miss: 0.00%","Cov: 32.39%
Acc: 80.77%
Miss: 0.20%","Cov: 48.36%
Acc: 82.62%
Miss: 0.47%","Cov: 55.27%
Acc: 81.38%
Miss: 0.25%","Cov: 74.19%
Acc: 83.26%
Miss: 0.62%","Cov: 82.73%
Acc: 83.49%
Miss: 1.39%","Cov: 85.17%
Acc: 82.01%
Miss: 1.09%","Cov: 89.46%
Acc: 80.71%
Miss: 1.29%","Cov: 95.37%
Acc: 77.97%
Miss: 0.78%","Cov: 97.78%
Acc: 76.61%
Miss: 0.31%","Cov: 98.76%
Acc: 76.14%
Miss: 0.16%"
Class_16,"Cov: 23.93%
Acc: 79.83%
Miss: 0.00%","Cov: 42.89%
Acc: 82.06%
Miss: 0.02%","Cov: 57.44%
Acc: 81.85%
Miss: 0.38%","Cov: 64.34%
Acc: 80.63%
Miss: 0.87%","Cov: 68.31%
Acc: 77.19%
Miss: 0.70%","Cov: 76.65%
Acc: 76.87%
Miss: 2.85%","Cov: 81.74%
Acc: 75.52%
Miss: 8.00%","Cov: 85.27%
Acc: 72.67%
Miss: 6.61%","Cov: 91.33%
Acc: 68.56%
Miss: 3.59%","Cov: 95.23%
Acc: 66.06%
Miss: 1.06%","Cov: 96.63%
Acc: 65.30%
Miss: 0.45%"
Class_17,"Cov: 39.73%
Acc: 84.86%
Miss: 0.69%","Cov: 45.18%
Acc: 80.44%
Miss: 0.50%","Cov: 61.48%
Acc: 80.62%
Miss: 1.43%","Cov: 73.81%
Acc: 81.64%
Miss: 3.32%","Cov: 80.38%
Acc: 80.26%
Miss: 3.87%","Cov: 83.35%
Acc: 78.52%
Miss: 3.37%","Cov: 85.57%
Acc: 77.23%
Miss: 2.95%","Cov: 90.82%
Acc: 76.05%
Miss: 3.22%","Cov: 96.65%
Acc: 73.31%
Miss: 2.29%","Cov: 98.87%
Acc: 71.70%
Miss: 0.67%","Cov: 99.47%
Acc: 71.27%
Miss: 0.31%"
Class_18,"Cov: 16.06%
Acc: 22.43%
Miss: 0.00%","Cov: 25.07%
Acc: 33.11%
Miss: 0.00%","Cov: 31.90%
Acc: 35.50%
Miss: 0.00%","Cov: 36.25%
Acc: 35.22%
Miss: 0.00%","Cov: 41.34%
Acc: 32.61%
Miss: 0.00%","Cov: 65.63%
Acc: 54.33%
Miss: 0.00%","Cov: 83.92%
Acc: 61.87%
Miss: 0.24%","Cov: 90.76%
Acc: 61.39%
Miss: 1.07%","Cov: 96.51%
Acc: 58.85%
Miss: 1.63%","Cov: 98.79%
Acc: 57.50%
Miss: 0.58%","Cov: 99.44%
Acc: 57.13%
Miss: 0.28%"
Class_19,"Cov: 23.30%
Acc: 74.09%
Miss: 0.04%","Cov: 33.83%
Acc: 71.94%
Miss: 0.24%","Cov: 40.81%
Acc: 64.80%
Miss: 0.33%","Cov: 44.64%
Acc: 59.89%
Miss: 0.11%","Cov: 50.88%
Acc: 54.76%
Miss: 0.09%","Cov: 56.01%
Acc: 52.10%
Miss: 0.11%","Cov: 59.28%
Acc: 49.75%
Miss: 0.10%","Cov: 65.65%
Acc: 47.78%
Miss: 0.09%","Cov: 81.51%
Acc: 49.27%
Miss: 0.13%","Cov: 89.46%
Acc: 48.12%
Miss: 0.01%","Cov: 92.97%
Acc: 48.42%
Miss: 0.00%"
