,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 22.12%
Acc: 67.87%
Miss: 0.56%","Cov: 35.24%
Acc: 68.66%
Miss: 1.22%","Cov: 47.34%
Acc: 68.64%
Miss: 2.17%","Cov: 56.80%
Acc: 69.35%
Miss: 2.39%","Cov: 66.44%
Acc: 68.45%
Miss: 2.40%","Cov: 72.40%
Acc: 67.46%
Miss: 2.69%","Cov: 76.89%
Acc: 66.30%
Miss: 2.96%","Cov: 83.49%
Acc: 65.46%
Miss: 2.81%","Cov: 93.34%
Acc: 63.68%
Miss: 1.20%","Cov: 97.78%
Acc: 62.66%
Miss: 0.39%","Cov: 98.91%
Acc: 62.33%
Miss: 0.22%"
Class_0,"Cov: 35.89%
Acc: 63.30%
Miss: 0.66%","Cov: 58.24%
Acc: 71.01%
Miss: 5.46%","Cov: 67.88%
Acc: 68.69%
Miss: 8.16%","Cov: 72.25%
Acc: 66.39%
Miss: 8.04%","Cov: 76.39%
Acc: 63.43%
Miss: 6.63%","Cov: 80.94%
Acc: 61.47%
Miss: 6.98%","Cov: 85.43%
Acc: 59.66%
Miss: 7.02%","Cov: 89.07%
Acc: 57.47%
Miss: 5.39%","Cov: 95.80%
Acc: 53.90%
Miss: 1.75%","Cov: 98.77%
Acc: 52.55%
Miss: 0.50%","Cov: 99.52%
Acc: 52.21%
Miss: 0.20%"
Class_1,"Cov: 7.59%
Acc: 27.46%
Miss: 0.00%","Cov: 25.48%
Acc: 63.46%
Miss: 0.00%","Cov: 46.63%
Acc: 73.67%
Miss: 0.00%","Cov: 52.97%
Acc: 72.71%
Miss: 0.00%","Cov: 57.60%
Acc: 68.67%
Miss: 0.00%","Cov: 61.04%
Acc: 66.31%
Miss: 0.00%","Cov: 63.95%
Acc: 63.48%
Miss: 0.00%","Cov: 72.26%
Acc: 63.41%
Miss: 0.00%","Cov: 92.74%
Acc: 66.51%
Miss: 0.48%","Cov: 97.10%
Acc: 64.99%
Miss: 0.20%","Cov: 98.73%
Acc: 64.57%
Miss: 0.16%"
Class_2,"Cov: 27.06%
Acc: 54.43%
Miss: 0.41%","Cov: 41.77%
Acc: 56.34%
Miss: 0.72%","Cov: 52.90%
Acc: 56.04%
Miss: 1.22%","Cov: 58.35%
Acc: 53.50%
Miss: 0.98%","Cov: 66.09%
Acc: 52.46%
Miss: 1.23%","Cov: 73.22%
Acc: 52.46%
Miss: 1.68%","Cov: 80.06%
Acc: 52.42%
Miss: 2.82%","Cov: 86.22%
Acc: 51.45%
Miss: 5.70%","Cov: 93.89%
Acc: 47.43%
Miss: 1.83%","Cov: 97.48%
Acc: 45.73%
Miss: 0.34%","Cov: 98.59%
Acc: 45.23%
Miss: 0.10%"
Class_3,"Cov: 35.51%
Acc: 70.19%
Miss: 5.53%","Cov: 48.98%
Acc: 65.15%
Miss: 12.50%","Cov: 58.47%
Acc: 60.10%
Miss: 17.21%","Cov: 63.59%
Acc: 56.20%
Miss: 16.55%","Cov: 70.18%
Acc: 51.10%
Miss: 12.46%","Cov: 74.69%
Acc: 48.83%
Miss: 12.87%","Cov: 79.20%
Acc: 46.63%
Miss: 13.87%","Cov: 84.77%
Acc: 43.76%
Miss: 11.06%","Cov: 93.10%
Acc: 39.92%
Miss: 5.11%","Cov: 97.39%
Acc: 38.20%
Miss: 1.85%","Cov: 98.69%
Acc: 37.70%
Miss: 0.93%"
Class_4,"Cov: 35.74%
Acc: 59.23%
Miss: 1.44%","Cov: 42.48%
Acc: 50.49%
Miss: 1.15%","Cov: 47.83%
Acc: 44.97%
Miss: 1.05%","Cov: 56.43%
Acc: 48.69%
Miss: 1.35%","Cov: 64.33%
Acc: 49.54%
Miss: 1.62%","Cov: 68.77%
Acc: 46.88%
Miss: 0.86%","Cov: 73.75%
Acc: 43.99%
Miss: 0.13%","Cov: 81.91%
Acc: 45.58%
Miss: 0.24%","Cov: 95.37%
Acc: 48.59%
Miss: 0.90%","Cov: 98.25%
Acc: 47.41%
Miss: 0.31%","Cov: 99.18%
Acc: 47.05%
Miss: 0.13%"
Class_5,"Cov: 36.33%
Acc: 74.99%
Miss: 0.47%","Cov: 44.53%
Acc: 64.66%
Miss: 0.31%","Cov: 54.69%
Acc: 61.35%
Miss: 0.41%","Cov: 59.76%
Acc: 59.70%
Miss: 0.35%","Cov: 65.31%
Acc: 57.81%
Miss: 0.35%","Cov: 70.20%
Acc: 57.27%
Miss: 0.42%","Cov: 73.31%
Acc: 56.55%
Miss: 0.41%","Cov: 78.57%
Acc: 55.66%
Miss: 0.26%","Cov: 90.54%
Acc: 55.64%
Miss: 0.03%","Cov: 97.03%
Acc: 56.44%
Miss: 0.02%","Cov: 98.86%
Acc: 56.47%
Miss: 0.05%"
Class_6,"Cov: 23.04%
Acc: 95.93%
Miss: 0.00%","Cov: 31.48%
Acc: 95.16%
Miss: 0.00%","Cov: 43.11%
Acc: 95.72%
Miss: 0.00%","Cov: 60.18%
Acc: 96.62%
Miss: 0.00%","Cov: 73.64%
Acc: 96.60%
Miss: 0.00%","Cov: 79.86%
Acc: 96.39%
Miss: 0.00%","Cov: 83.04%
Acc: 96.14%
Miss: 0.00%","Cov: 90.96%
Acc: 95.98%
Miss: 0.00%","Cov: 96.32%
Acc: 95.25%
Miss: 0.00%","Cov: 98.77%
Acc: 94.87%
Miss: 0.00%","Cov: 99.51%
Acc: 94.76%
Miss: 0.00%"
Class_7,"Cov: 10.14%
Acc: 18.92%
Miss: 0.00%","Cov: 17.02%
Acc: 23.70%
Miss: 0.00%","Cov: 22.28%
Acc: 21.10%
Miss: 0.00%","Cov: 38.68%
Acc: 46.57%
Miss: 0.07%","Cov: 64.59%
Acc: 61.16%
Miss: 1.42%","Cov: 68.49%
Acc: 59.17%
Miss: 1.41%","Cov: 77.87%
Acc: 60.50%
Miss: 2.10%","Cov: 87.53%
Acc: 61.20%
Miss: 3.69%","Cov: 95.24%
Acc: 57.38%
Miss: 0.75%","Cov: 98.51%
Acc: 56.49%
Miss: 0.38%","Cov: 99.34%
Acc: 56.11%
Miss: 0.33%"
Class_8,"Cov: 30.32%
Acc: 69.42%
Miss: 1.99%","Cov: 40.12%
Acc: 62.74%
Miss: 3.05%","Cov: 47.82%
Acc: 54.95%
Miss: 2.79%","Cov: 52.60%
Acc: 51.11%
Miss: 2.42%","Cov: 61.54%
Acc: 49.48%
Miss: 3.08%","Cov: 68.20%
Acc: 49.34%
Miss: 4.25%","Cov: 73.44%
Acc: 47.42%
Miss: 3.86%","Cov: 80.83%
Acc: 46.03%
Miss: 3.99%","Cov: 90.91%
Acc: 42.57%
Miss: 1.37%","Cov: 95.61%
Acc: 41.17%
Miss: 0.26%","Cov: 97.26%
Acc: 40.86%
Miss: 0.09%"
