,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_10,"Cov: 13.33%
Acc: 55.72%
Miss: 0.12%","Cov: 35.04%
Acc: 45.24%
Miss: 2.29%","Cov: 53.63%
Acc: 40.67%
Miss: 4.58%","Cov: 64.29%
Acc: 35.49%
Miss: 3.31%","Cov: 75.61%
Acc: 33.02%
Miss: 3.48%","Cov: 83.66%
Acc: 30.41%
Miss: 1.69%","Cov: 89.92%
Acc: 29.07%
Miss: 0.91%","Cov: 94.16%
Acc: 28.17%
Miss: 0.28%","Cov: 97.55%
Acc: 27.56%
Miss: 0.03%","Cov: 98.43%
Acc: 27.41%
Miss: 0.02%","Cov: 99.76%
Acc: 27.55%
Miss: 0.02%"
Class_11,"Cov: 15.31%
Acc: 62.03%
Miss: 0.00%","Cov: 33.13%
Acc: 44.39%
Miss: 0.00%","Cov: 52.82%
Acc: 46.86%
Miss: 0.18%","Cov: 65.99%
Acc: 46.77%
Miss: 0.82%","Cov: 75.86%
Acc: 44.44%
Miss: 1.22%","Cov: 84.50%
Acc: 42.50%
Miss: 1.00%","Cov: 90.12%
Acc: 40.24%
Miss: 0.31%","Cov: 94.61%
Acc: 39.34%
Miss: 0.11%","Cov: 98.17%
Acc: 38.51%
Miss: 0.01%","Cov: 99.03%
Acc: 38.40%
Miss: 0.10%","Cov: 99.77%
Acc: 38.16%
Miss: 0.09%"
Class_12,"Cov: 22.56%
Acc: 69.77%
Miss: 0.23%","Cov: 44.45%
Acc: 59.40%
Miss: 0.89%","Cov: 57.36%
Acc: 52.73%
Miss: 0.78%","Cov: 65.60%
Acc: 50.82%
Miss: 0.82%","Cov: 72.16%
Acc: 47.88%
Miss: 0.69%","Cov: 80.61%
Acc: 47.16%
Miss: 1.11%","Cov: 87.31%
Acc: 45.66%
Miss: 0.98%","Cov: 93.63%
Acc: 45.35%
Miss: 0.41%","Cov: 97.49%
Acc: 44.26%
Miss: 0.00%","Cov: 98.75%
Acc: 44.08%
Miss: 0.01%","Cov: 99.82%
Acc: 44.00%
Miss: 0.01%"
Class_13,"Cov: 11.09%
Acc: 38.11%
Miss: 0.00%","Cov: 34.47%
Acc: 33.12%
Miss: 0.03%","Cov: 57.72%
Acc: 38.58%
Miss: 0.06%","Cov: 72.76%
Acc: 41.31%
Miss: 0.22%","Cov: 81.95%
Acc: 40.98%
Miss: 0.55%","Cov: 88.68%
Acc: 39.19%
Miss: 0.15%","Cov: 93.57%
Acc: 38.14%
Miss: 0.11%","Cov: 96.70%
Acc: 37.54%
Miss: 0.05%","Cov: 99.19%
Acc: 36.91%
Miss: 0.00%","Cov: 99.64%
Acc: 36.80%
Miss: 0.00%","Cov: 99.90%
Acc: 36.75%
Miss: 0.00%"
Class_14,"Cov: 17.62%
Acc: 56.38%
Miss: 0.29%","Cov: 38.95%
Acc: 45.31%
Miss: 1.87%","Cov: 54.97%
Acc: 37.94%
Miss: 2.16%","Cov: 68.11%
Acc: 33.39%
Miss: 2.69%","Cov: 78.70%
Acc: 30.25%
Miss: 2.52%","Cov: 87.60%
Acc: 28.09%
Miss: 1.34%","Cov: 93.25%
Acc: 26.57%
Miss: 0.57%","Cov: 96.58%
Acc: 25.90%
Miss: 0.18%","Cov: 99.05%
Acc: 25.42%
Miss: 0.04%","Cov: 99.62%
Acc: 25.30%
Miss: 0.08%","Cov: 99.97%
Acc: 25.21%
Miss: 0.00%"
Class_15,"Cov: 14.69%
Acc: 79.38%
Miss: 0.22%","Cov: 35.89%
Acc: 75.55%
Miss: 0.91%","Cov: 52.50%
Acc: 71.56%
Miss: 1.33%","Cov: 65.92%
Acc: 69.41%
Miss: 1.64%","Cov: 72.91%
Acc: 65.53%
Miss: 0.97%","Cov: 82.35%
Acc: 63.51%
Miss: 0.40%","Cov: 91.32%
Acc: 62.39%
Miss: 0.30%","Cov: 95.80%
Acc: 60.54%
Miss: 0.08%","Cov: 98.95%
Acc: 59.35%
Miss: 0.00%","Cov: 99.51%
Acc: 59.12%
Miss: 0.03%","Cov: 99.98%
Acc: 58.84%
Miss: 0.00%"
Class_16,"Cov: 21.14%
Acc: 79.24%
Miss: 0.00%","Cov: 36.69%
Acc: 66.12%
Miss: 0.01%","Cov: 51.04%
Acc: 63.03%
Miss: 0.01%","Cov: 63.19%
Acc: 63.73%
Miss: 0.04%","Cov: 74.21%
Acc: 64.09%
Miss: 0.24%","Cov: 81.14%
Acc: 61.83%
Miss: 0.02%","Cov: 87.62%
Acc: 60.79%
Miss: 0.06%","Cov: 92.32%
Acc: 59.62%
Miss: 0.07%","Cov: 96.22%
Acc: 58.71%
Miss: 0.04%","Cov: 97.81%
Acc: 58.27%
Miss: 0.01%","Cov: 99.62%
Acc: 58.42%
Miss: 0.02%"
Class_17,"Cov: 16.07%
Acc: 53.14%
Miss: 0.00%","Cov: 44.20%
Acc: 46.95%
Miss: 0.05%","Cov: 64.34%
Acc: 46.82%
Miss: 0.21%","Cov: 73.90%
Acc: 44.45%
Miss: 0.23%","Cov: 82.00%
Acc: 44.22%
Miss: 0.28%","Cov: 88.73%
Acc: 44.27%
Miss: 0.02%","Cov: 92.94%
Acc: 44.40%
Miss: 0.06%","Cov: 95.38%
Acc: 43.79%
Miss: 0.06%","Cov: 97.91%
Acc: 43.34%
Miss: 0.00%","Cov: 99.08%
Acc: 43.41%
Miss: 0.01%","Cov: 99.76%
Acc: 43.31%
Miss: 0.00%"
Class_18,"Cov: 35.48%
Acc: 76.56%
Miss: 0.00%","Cov: 46.82%
Acc: 57.98%
Miss: 0.00%","Cov: 64.86%
Acc: 58.55%
Miss: 0.02%","Cov: 72.50%
Acc: 55.42%
Miss: 0.04%","Cov: 82.02%
Acc: 54.54%
Miss: 0.07%","Cov: 88.16%
Acc: 53.21%
Miss: 0.04%","Cov: 93.04%
Acc: 51.86%
Miss: 0.28%","Cov: 96.53%
Acc: 50.24%
Miss: 0.03%","Cov: 98.83%
Acc: 49.41%
Miss: 0.15%","Cov: 99.51%
Acc: 49.07%
Miss: 0.07%","Cov: 99.96%
Acc: 48.89%
Miss: 0.01%"
Class_19,"Cov: 11.89%
Acc: 35.34%
Miss: 0.07%","Cov: 30.76%
Acc: 40.57%
Miss: 0.48%","Cov: 46.28%
Acc: 41.75%
Miss: 0.77%","Cov: 58.96%
Acc: 44.28%
Miss: 1.45%","Cov: 66.10%
Acc: 41.86%
Miss: 0.92%","Cov: 73.10%
Acc: 40.99%
Miss: 0.29%","Cov: 83.03%
Acc: 43.55%
Miss: 0.19%","Cov: 91.77%
Acc: 45.51%
Miss: 0.28%","Cov: 96.97%
Acc: 44.79%
Miss: 0.18%","Cov: 98.29%
Acc: 44.36%
Miss: 0.12%","Cov: 99.65%
Acc: 43.86%
Miss: 0.08%"
