,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 18.13%
Acc: 69.01%
Miss: 0.28%","Cov: 36.72%
Acc: 53.16%
Miss: 1.04%","Cov: 51.94%
Acc: 47.68%
Miss: 1.48%","Cov: 63.04%
Acc: 45.29%
Miss: 1.44%","Cov: 73.17%
Acc: 43.79%
Miss: 1.46%","Cov: 82.40%
Acc: 42.72%
Miss: 0.79%","Cov: 89.54%
Acc: 41.97%
Miss: 0.50%","Cov: 94.60%
Acc: 41.50%
Miss: 0.21%","Cov: 98.15%
Acc: 40.84%
Miss: 0.10%","Cov: 99.04%
Acc: 40.65%
Miss: 0.08%","Cov: 99.81%
Acc: 40.53%
Miss: 0.04%"
Class_0,"Cov: 19.34%
Acc: 69.31%
Miss: 0.65%","Cov: 38.36%
Acc: 52.80%
Miss: 2.74%","Cov: 52.84%
Acc: 43.45%
Miss: 1.82%","Cov: 63.29%
Acc: 40.32%
Miss: 1.56%","Cov: 72.32%
Acc: 37.34%
Miss: 1.43%","Cov: 81.52%
Acc: 35.51%
Miss: 1.46%","Cov: 89.07%
Acc: 33.77%
Miss: 1.38%","Cov: 94.89%
Acc: 32.14%
Miss: 0.33%","Cov: 98.65%
Acc: 31.22%
Miss: 0.02%","Cov: 99.64%
Acc: 31.07%
Miss: 0.01%","Cov: 99.99%
Acc: 31.02%
Miss: 0.00%"
Class_1,"Cov: 42.09%
Acc: 89.45%
Miss: 0.00%","Cov: 50.70%
Acc: 74.25%
Miss: 0.00%","Cov: 58.15%
Acc: 64.73%
Miss: 0.00%","Cov: 63.68%
Acc: 59.11%
Miss: 0.00%","Cov: 73.76%
Acc: 58.15%
Miss: 0.00%","Cov: 86.84%
Acc: 60.14%
Miss: 0.01%","Cov: 92.73%
Acc: 59.30%
Miss: 0.05%","Cov: 96.06%
Acc: 58.57%
Miss: 0.03%","Cov: 98.91%
Acc: 57.99%
Miss: 0.00%","Cov: 99.55%
Acc: 57.81%
Miss: 0.03%","Cov: 99.80%
Acc: 57.67%
Miss: 0.00%"
Class_2,"Cov: 16.40%
Acc: 64.21%
Miss: 2.50%","Cov: 34.37%
Acc: 46.25%
Miss: 3.84%","Cov: 49.92%
Acc: 38.39%
Miss: 4.47%","Cov: 60.07%
Acc: 33.73%
Miss: 3.81%","Cov: 69.92%
Acc: 30.01%
Miss: 2.53%","Cov: 78.55%
Acc: 28.08%
Miss: 1.69%","Cov: 86.00%
Acc: 26.90%
Miss: 0.99%","Cov: 91.38%
Acc: 26.14%
Miss: 0.98%","Cov: 96.98%
Acc: 25.47%
Miss: 1.37%","Cov: 98.55%
Acc: 25.08%
Miss: 0.51%","Cov: 99.83%
Acc: 24.81%
Miss: 0.07%"
Class_3,"Cov: 15.17%
Acc: 60.71%
Miss: 2.39%","Cov: 35.66%
Acc: 38.24%
Miss: 4.43%","Cov: 52.84%
Acc: 30.99%
Miss: 7.45%","Cov: 64.83%
Acc: 25.88%
Miss: 5.62%","Cov: 75.39%
Acc: 23.02%
Miss: 4.28%","Cov: 84.63%
Acc: 20.92%
Miss: 2.38%","Cov: 91.23%
Acc: 19.56%
Miss: 0.86%","Cov: 95.60%
Acc: 18.78%
Miss: 0.20%","Cov: 98.50%
Acc: 18.35%
Miss: 0.00%","Cov: 99.20%
Acc: 18.25%
Miss: 0.00%","Cov: 99.92%
Acc: 18.22%
Miss: 0.01%"
Class_4,"Cov: 18.14%
Acc: 44.65%
Miss: 0.01%","Cov: 40.23%
Acc: 42.46%
Miss: 1.19%","Cov: 55.55%
Acc: 36.16%
Miss: 0.66%","Cov: 66.88%
Acc: 36.37%
Miss: 0.96%","Cov: 76.69%
Acc: 35.15%
Miss: 0.94%","Cov: 85.67%
Acc: 34.34%
Miss: 0.65%","Cov: 91.77%
Acc: 32.90%
Miss: 0.30%","Cov: 95.56%
Acc: 32.56%
Miss: 0.24%","Cov: 98.86%
Acc: 32.00%
Miss: 0.00%","Cov: 99.50%
Acc: 31.86%
Miss: 0.00%","Cov: 99.96%
Acc: 31.83%
Miss: 0.00%"
Class_5,"Cov: 17.93%
Acc: 53.31%
Miss: 0.02%","Cov: 43.37%
Acc: 42.08%
Miss: 0.95%","Cov: 59.87%
Acc: 35.53%
Miss: 1.04%","Cov: 69.60%
Acc: 33.28%
Miss: 2.09%","Cov: 77.23%
Acc: 31.34%
Miss: 1.89%","Cov: 84.06%
Acc: 29.88%
Miss: 0.66%","Cov: 88.73%
Acc: 29.07%
Miss: 0.53%","Cov: 92.65%
Acc: 28.33%
Miss: 0.41%","Cov: 96.55%
Acc: 27.59%
Miss: 0.12%","Cov: 98.02%
Acc: 27.61%
Miss: 0.37%","Cov: 99.37%
Acc: 27.39%
Miss: 0.25%"
Class_6,"Cov: 19.33%
Acc: 94.40%
Miss: 0.00%","Cov: 25.75%
Acc: 83.51%
Miss: 0.00%","Cov: 32.89%
Acc: 75.31%
Miss: 0.00%","Cov: 45.86%
Acc: 72.34%
Miss: 0.00%","Cov: 59.50%
Acc: 72.46%
Miss: 0.00%","Cov: 74.57%
Acc: 72.96%
Miss: 0.00%","Cov: 87.26%
Acc: 73.32%
Miss: 0.00%","Cov: 96.65%
Acc: 74.42%
Miss: 0.00%","Cov: 99.69%
Acc: 74.35%
Miss: 0.00%","Cov: 99.86%
Acc: 74.24%
Miss: 0.00%","Cov: 99.92%
Acc: 74.20%
Miss: 0.00%"
Class_7,"Cov: 10.89%
Acc: 38.19%
Miss: 0.01%","Cov: 33.63%
Acc: 43.81%
Miss: 0.34%","Cov: 47.65%
Acc: 38.65%
Miss: 0.65%","Cov: 58.10%
Acc: 35.93%
Miss: 0.91%","Cov: 69.23%
Acc: 35.08%
Miss: 2.09%","Cov: 77.90%
Acc: 32.25%
Miss: 0.81%","Cov: 86.47%
Acc: 30.83%
Miss: 0.50%","Cov: 91.83%
Acc: 29.91%
Miss: 0.21%","Cov: 97.23%
Acc: 29.83%
Miss: 0.19%","Cov: 98.55%
Acc: 29.64%
Miss: 0.10%","Cov: 99.71%
Acc: 29.63%
Miss: 0.17%"
Class_8,"Cov: 17.38%
Acc: 53.53%
Miss: 0.09%","Cov: 39.49%
Acc: 36.88%
Miss: 0.34%","Cov: 55.06%
Acc: 31.14%
Miss: 0.38%","Cov: 67.33%
Acc: 30.56%
Miss: 1.05%","Cov: 78.57%
Acc: 29.78%
Miss: 1.91%","Cov: 86.92%
Acc: 27.88%
Miss: 0.79%","Cov: 92.14%
Acc: 27.07%
Miss: 0.48%","Cov: 95.76%
Acc: 26.41%
Miss: 0.20%","Cov: 98.55%
Acc: 25.80%
Miss: 0.08%","Cov: 99.34%
Acc: 25.67%
Miss: 0.07%","Cov: 99.87%
Acc: 25.55%
Miss: 0.03%"
Class_9,"Cov: 14.24%
Acc: 67.96%
Miss: 0.69%","Cov: 35.64%
Acc: 47.96%
Miss: 1.38%","Cov: 50.86%
Acc: 41.62%
Miss: 2.00%","Cov: 60.68%
Acc: 37.33%
Miss: 2.11%","Cov: 69.62%
Acc: 33.90%
Miss: 2.14%","Cov: 78.50%
Acc: 30.72%
Miss: 1.28%","Cov: 86.07%
Acc: 29.38%
Miss: 1.24%","Cov: 93.19%
Acc: 28.41%
Miss: 0.55%","Cov: 98.10%
Acc: 27.61%
Miss: 0.14%","Cov: 99.12%
Acc: 27.50%
Miss: 0.23%","Cov: 99.88%
Acc: 27.28%
Miss: 0.03%"
