,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_9,"Cov: 9.06%
Acc: 83.05%
Miss: 0.27%","Cov: 20.21%
Acc: 88.83%
Miss: 0.26%","Cov: 29.99%
Acc: 90.03%
Miss: 0.65%","Cov: 39.66%
Acc: 89.33%
Miss: 1.34%","Cov: 50.50%
Acc: 87.91%
Miss: 1.73%","Cov: 61.09%
Acc: 86.64%
Miss: 2.55%","Cov: 71.71%
Acc: 83.31%
Miss: 3.07%","Cov: 83.85%
Acc: 77.47%
Miss: 2.49%","Cov: 95.06%
Acc: 71.48%
Miss: 0.71%","Cov: 98.90%
Acc: 69.56%
Miss: 0.28%","Cov: 99.98%
Acc: 69.04%
Miss: 0.00%"
Class_10,"Cov: 9.92%
Acc: 86.08%
Miss: 0.20%","Cov: 17.19%
Acc: 89.45%
Miss: 0.35%","Cov: 30.81%
Acc: 91.27%
Miss: 0.33%","Cov: 40.15%
Acc: 90.70%
Miss: 0.31%","Cov: 50.75%
Acc: 89.47%
Miss: 0.22%","Cov: 61.02%
Acc: 87.76%
Miss: 0.18%","Cov: 72.90%
Acc: 85.35%
Miss: 0.19%","Cov: 86.68%
Acc: 81.99%
Miss: 0.16%","Cov: 96.69%
Acc: 79.03%
Miss: 0.13%","Cov: 99.47%
Acc: 78.19%
Miss: 0.11%","Cov: 100.00%
Acc: 77.91%
Miss: 0.00%"
Class_11,"Cov: 15.82%
Acc: 84.47%
Miss: 0.04%","Cov: 23.24%
Acc: 84.25%
Miss: 0.07%","Cov: 32.82%
Acc: 84.45%
Miss: 0.04%","Cov: 44.07%
Acc: 84.22%
Miss: 0.14%","Cov: 55.05%
Acc: 83.61%
Miss: 0.29%","Cov: 66.01%
Acc: 82.62%
Miss: 0.33%","Cov: 75.97%
Acc: 79.28%
Miss: 0.20%","Cov: 88.35%
Acc: 76.23%
Miss: 0.30%","Cov: 96.84%
Acc: 73.33%
Miss: 0.24%","Cov: 99.42%
Acc: 72.13%
Miss: 0.08%","Cov: 99.98%
Acc: 72.05%
Miss: 0.00%"
Class_12,"Cov: 13.70%
Acc: 89.40%
Miss: 0.12%","Cov: 22.14%
Acc: 84.34%
Miss: 0.24%","Cov: 32.65%
Acc: 83.86%
Miss: 0.33%","Cov: 44.80%
Acc: 84.88%
Miss: 0.10%","Cov: 55.72%
Acc: 84.54%
Miss: 0.10%","Cov: 65.98%
Acc: 84.30%
Miss: 0.07%","Cov: 76.98%
Acc: 83.78%
Miss: 0.03%","Cov: 88.86%
Acc: 82.47%
Miss: 0.01%","Cov: 96.41%
Acc: 81.20%
Miss: 0.01%","Cov: 99.12%
Acc: 80.11%
Miss: 0.03%","Cov: 99.98%
Acc: 79.76%
Miss: 0.00%"
Class_13,"Cov: 14.24%
Acc: 80.26%
Miss: 0.03%","Cov: 24.98%
Acc: 83.60%
Miss: 0.17%","Cov: 33.85%
Acc: 84.12%
Miss: 0.12%","Cov: 45.33%
Acc: 85.89%
Miss: 0.12%","Cov: 56.32%
Acc: 85.98%
Miss: 0.08%","Cov: 67.39%
Acc: 85.83%
Miss: 0.07%","Cov: 80.13%
Acc: 84.30%
Miss: 0.04%","Cov: 90.28%
Acc: 80.87%
Miss: 0.14%","Cov: 97.12%
Acc: 77.29%
Miss: 0.19%","Cov: 99.27%
Acc: 75.96%
Miss: 0.19%","Cov: 99.95%
Acc: 75.47%
Miss: 0.01%"
Class_14,"Cov: 12.57%
Acc: 70.88%
Miss: 0.01%","Cov: 21.64%
Acc: 77.70%
Miss: 0.35%","Cov: 31.28%
Acc: 81.17%
Miss: 0.35%","Cov: 41.93%
Acc: 83.39%
Miss: 0.29%","Cov: 51.35%
Acc: 83.69%
Miss: 0.30%","Cov: 61.52%
Acc: 83.34%
Miss: 0.35%","Cov: 74.66%
Acc: 81.14%
Miss: 0.42%","Cov: 87.13%
Acc: 76.74%
Miss: 0.40%","Cov: 96.46%
Acc: 72.96%
Miss: 0.19%","Cov: 99.36%
Acc: 71.54%
Miss: 0.12%","Cov: 99.99%
Acc: 71.21%
Miss: 0.00%"
Class_15,"Cov: 11.61%
Acc: 83.24%
Miss: 0.38%","Cov: 22.19%
Acc: 87.42%
Miss: 0.18%","Cov: 31.56%
Acc: 89.62%
Miss: 0.13%","Cov: 42.67%
Acc: 90.82%
Miss: 0.22%","Cov: 53.80%
Acc: 90.86%
Miss: 0.26%","Cov: 63.91%
Acc: 90.20%
Miss: 0.22%","Cov: 74.49%
Acc: 88.73%
Miss: 0.25%","Cov: 86.52%
Acc: 86.19%
Miss: 0.07%","Cov: 96.30%
Acc: 83.32%
Miss: 0.15%","Cov: 99.02%
Acc: 82.18%
Miss: 0.17%","Cov: 99.95%
Acc: 81.64%
Miss: 0.00%"
Class_16,"Cov: 15.26%
Acc: 88.38%
Miss: 0.00%","Cov: 27.88%
Acc: 89.22%
Miss: 0.00%","Cov: 37.67%
Acc: 88.59%
Miss: 0.00%","Cov: 44.43%
Acc: 88.74%
Miss: 0.02%","Cov: 55.03%
Acc: 89.23%
Miss: 0.02%","Cov: 65.19%
Acc: 88.87%
Miss: 0.02%","Cov: 75.66%
Acc: 87.49%
Miss: 0.02%","Cov: 88.41%
Acc: 85.55%
Miss: 0.08%","Cov: 97.05%
Acc: 83.17%
Miss: 0.17%","Cov: 99.32%
Acc: 82.01%
Miss: 0.11%","Cov: 99.96%
Acc: 81.56%
Miss: 0.00%"
Class_17,"Cov: 16.79%
Acc: 88.84%
Miss: 0.00%","Cov: 23.95%
Acc: 87.35%
Miss: 0.00%","Cov: 36.46%
Acc: 87.43%
Miss: 0.00%","Cov: 45.23%
Acc: 86.44%
Miss: 0.01%","Cov: 57.55%
Acc: 87.20%
Miss: 0.00%","Cov: 67.38%
Acc: 86.97%
Miss: 0.03%","Cov: 76.70%
Acc: 85.78%
Miss: 0.00%","Cov: 87.79%
Acc: 84.37%
Miss: 0.01%","Cov: 96.95%
Acc: 83.12%
Miss: 0.02%","Cov: 99.35%
Acc: 82.62%
Miss: 0.02%","Cov: 99.97%
Acc: 82.57%
Miss: 0.00%"
Class_18,"Cov: 18.50%
Acc: 74.49%
Miss: 0.00%","Cov: 27.23%
Acc: 72.19%
Miss: 0.08%","Cov: 37.37%
Acc: 73.77%
Miss: 0.01%","Cov: 49.04%
Acc: 75.83%
Miss: 0.02%","Cov: 59.71%
Acc: 76.44%
Miss: 0.07%","Cov: 67.85%
Acc: 77.04%
Miss: 0.01%","Cov: 78.62%
Acc: 76.11%
Miss: 0.00%","Cov: 89.60%
Acc: 74.10%
Miss: 0.11%","Cov: 97.46%
Acc: 71.09%
Miss: 0.15%","Cov: 99.58%
Acc: 69.78%
Miss: 0.13%","Cov: 100.00%
Acc: 69.60%
Miss: 0.00%"
Class_19,"Cov: 14.92%
Acc: 75.43%
Miss: 0.00%","Cov: 25.08%
Acc: 80.90%
Miss: 0.15%","Cov: 34.46%
Acc: 83.81%
Miss: 0.15%","Cov: 44.77%
Acc: 84.21%
Miss: 0.00%","Cov: 57.38%
Acc: 84.56%
Miss: 0.15%","Cov: 67.08%
Acc: 83.56%
Miss: 0.15%","Cov: 76.00%
Acc: 80.54%
Miss: 0.31%","Cov: 87.69%
Acc: 75.00%
Miss: 0.46%","Cov: 96.77%
Acc: 72.03%
Miss: 0.46%","Cov: 98.92%
Acc: 70.76%
Miss: 0.31%","Cov: 100.00%
Acc: 69.69%
Miss: 0.00%"
