,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 12.93%
Acc: 77.42%
Miss: 0.13%","Cov: 23.03%
Acc: 83.44%
Miss: 0.26%","Cov: 33.70%
Acc: 85.30%
Miss: 0.23%","Cov: 43.35%
Acc: 85.99%
Miss: 0.25%","Cov: 53.66%
Acc: 86.17%
Miss: 0.26%","Cov: 63.81%
Acc: 85.65%
Miss: 0.29%","Cov: 74.97%
Acc: 83.97%
Miss: 0.34%","Cov: 86.85%
Acc: 81.25%
Miss: 0.32%","Cov: 96.07%
Acc: 78.73%
Miss: 0.19%","Cov: 99.09%
Acc: 77.90%
Miss: 0.11%","Cov: 99.98%
Acc: 77.68%
Miss: 0.00%"
Class_0,"Cov: 15.55%
Acc: 65.18%
Miss: 0.36%","Cov: 23.67%
Acc: 71.65%
Miss: 1.03%","Cov: 34.25%
Acc: 73.08%
Miss: 0.56%","Cov: 44.50%
Acc: 75.46%
Miss: 0.50%","Cov: 54.26%
Acc: 76.33%
Miss: 0.42%","Cov: 64.93%
Acc: 76.40%
Miss: 0.37%","Cov: 77.20%
Acc: 75.38%
Miss: 0.21%","Cov: 88.36%
Acc: 73.19%
Miss: 0.04%","Cov: 97.24%
Acc: 71.74%
Miss: 0.06%","Cov: 99.43%
Acc: 71.01%
Miss: 0.06%","Cov: 99.98%
Acc: 70.73%
Miss: 0.00%"
Class_1,"Cov: 19.73%
Acc: 44.95%
Miss: 0.00%","Cov: 39.61%
Acc: 73.53%
Miss: 0.03%","Cov: 40.36%
Acc: 72.40%
Miss: 0.00%","Cov: 51.65%
Acc: 77.89%
Miss: 0.00%","Cov: 57.33%
Acc: 80.78%
Miss: 0.00%","Cov: 65.82%
Acc: 82.13%
Miss: 0.00%","Cov: 77.80%
Acc: 81.90%
Miss: 0.02%","Cov: 90.43%
Acc: 80.40%
Miss: 0.04%","Cov: 97.40%
Acc: 78.66%
Miss: 0.22%","Cov: 99.36%
Acc: 77.71%
Miss: 0.13%","Cov: 99.96%
Acc: 77.43%
Miss: 0.00%"
Class_2,"Cov: 12.90%
Acc: 66.64%
Miss: 0.51%","Cov: 24.01%
Acc: 71.11%
Miss: 0.81%","Cov: 34.03%
Acc: 74.57%
Miss: 0.63%","Cov: 44.50%
Acc: 77.79%
Miss: 0.67%","Cov: 55.74%
Acc: 78.76%
Miss: 0.56%","Cov: 65.43%
Acc: 78.01%
Miss: 0.42%","Cov: 77.21%
Acc: 76.02%
Miss: 0.78%","Cov: 88.01%
Acc: 71.29%
Miss: 0.95%","Cov: 96.74%
Acc: 66.80%
Miss: 0.67%","Cov: 99.26%
Acc: 65.32%
Miss: 0.32%","Cov: 99.99%
Acc: 65.00%
Miss: 0.00%"
Class_3,"Cov: 11.82%
Acc: 69.68%
Miss: 0.10%","Cov: 20.50%
Acc: 75.99%
Miss: 0.43%","Cov: 30.59%
Acc: 77.44%
Miss: 0.51%","Cov: 40.71%
Acc: 79.27%
Miss: 0.84%","Cov: 51.59%
Acc: 78.88%
Miss: 1.02%","Cov: 61.62%
Acc: 77.32%
Miss: 1.15%","Cov: 73.57%
Acc: 74.70%
Miss: 1.70%","Cov: 86.12%
Acc: 69.48%
Miss: 1.73%","Cov: 96.50%
Acc: 64.28%
Miss: 0.66%","Cov: 99.22%
Acc: 62.84%
Miss: 0.19%","Cov: 99.99%
Acc: 62.49%
Miss: 0.00%"
Class_4,"Cov: 21.59%
Acc: 59.97%
Miss: 0.00%","Cov: 26.98%
Acc: 57.72%
Miss: 0.03%","Cov: 37.82%
Acc: 63.73%
Miss: 0.07%","Cov: 46.36%
Acc: 66.88%
Miss: 0.09%","Cov: 55.46%
Acc: 67.84%
Miss: 0.30%","Cov: 67.38%
Acc: 69.59%
Miss: 0.22%","Cov: 78.33%
Acc: 69.89%
Miss: 0.02%","Cov: 89.47%
Acc: 68.47%
Miss: 0.02%","Cov: 97.76%
Acc: 67.38%
Miss: 0.23%","Cov: 99.59%
Acc: 66.84%
Miss: 0.14%","Cov: 100.00%
Acc: 66.75%
Miss: 0.00%"
Class_5,"Cov: 13.60%
Acc: 82.47%
Miss: 0.07%","Cov: 21.96%
Acc: 83.87%
Miss: 0.26%","Cov: 34.29%
Acc: 85.68%
Miss: 0.29%","Cov: 45.79%
Acc: 85.57%
Miss: 0.11%","Cov: 55.73%
Acc: 84.35%
Miss: 0.14%","Cov: 66.48%
Acc: 83.32%
Miss: 0.15%","Cov: 76.71%
Acc: 81.29%
Miss: 0.08%","Cov: 88.68%
Acc: 78.59%
Miss: 0.17%","Cov: 97.04%
Acc: 75.96%
Miss: 0.11%","Cov: 99.51%
Acc: 75.10%
Miss: 0.10%","Cov: 99.98%
Acc: 74.82%
Miss: 0.00%"
Class_6,"Cov: 9.18%
Acc: 94.20%
Miss: 0.00%","Cov: 21.15%
Acc: 95.78%
Miss: 0.00%","Cov: 34.14%
Acc: 96.68%
Miss: 0.00%","Cov: 39.42%
Acc: 96.54%
Miss: 0.00%","Cov: 49.84%
Acc: 96.78%
Miss: 0.00%","Cov: 59.83%
Acc: 96.79%
Miss: 0.00%","Cov: 70.37%
Acc: 96.29%
Miss: 0.00%","Cov: 80.22%
Acc: 95.84%
Miss: 0.00%","Cov: 91.61%
Acc: 95.25%
Miss: 0.00%","Cov: 97.59%
Acc: 95.16%
Miss: 0.00%","Cov: 99.99%
Acc: 95.17%
Miss: 0.00%"
Class_7,"Cov: 11.73%
Acc: 76.49%
Miss: 0.26%","Cov: 21.23%
Acc: 81.31%
Miss: 0.47%","Cov: 33.19%
Acc: 83.81%
Miss: 0.41%","Cov: 44.72%
Acc: 84.08%
Miss: 0.26%","Cov: 55.57%
Acc: 84.12%
Miss: 0.28%","Cov: 65.20%
Acc: 83.22%
Miss: 0.29%","Cov: 76.15%
Acc: 81.56%
Miss: 0.30%","Cov: 88.66%
Acc: 78.47%
Miss: 0.25%","Cov: 97.05%
Acc: 75.89%
Miss: 0.09%","Cov: 99.35%
Acc: 75.26%
Miss: 0.06%","Cov: 99.97%
Acc: 75.05%
Miss: 0.00%"
Class_8,"Cov: 13.40%
Acc: 69.84%
Miss: 0.24%","Cov: 22.20%
Acc: 70.82%
Miss: 0.09%","Cov: 34.00%
Acc: 76.67%
Miss: 0.16%","Cov: 45.28%
Acc: 78.52%
Miss: 0.32%","Cov: 56.10%
Acc: 79.11%
Miss: 0.33%","Cov: 66.67%
Acc: 78.12%
Miss: 0.54%","Cov: 77.46%
Acc: 75.99%
Miss: 1.56%","Cov: 87.28%
Acc: 70.91%
Miss: 1.71%","Cov: 96.22%
Acc: 65.99%
Miss: 1.01%","Cov: 99.21%
Acc: 64.31%
Miss: 0.20%","Cov: 99.98%
Acc: 63.78%
Miss: 0.00%"
