,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_10,"Cov: 10.61%
Acc: 93.06%
Miss: 0.00%","Cov: 21.38%
Acc: 90.12%
Miss: 0.09%","Cov: 37.20%
Acc: 79.71%
Miss: 0.81%","Cov: 53.78%
Acc: 66.53%
Miss: 1.42%","Cov: 67.37%
Acc: 60.08%
Miss: 2.38%","Cov: 78.54%
Acc: 55.13%
Miss: 1.33%","Cov: 87.85%
Acc: 51.97%
Miss: 0.40%","Cov: 93.69%
Acc: 50.51%
Miss: 0.18%","Cov: 97.73%
Acc: 49.29%
Miss: 0.06%","Cov: 99.02%
Acc: 48.93%
Miss: 0.02%","Cov: 99.85%
Acc: 48.70%
Miss: 0.00%"
Class_11,"Cov: 18.29%
Acc: 91.31%
Miss: 0.00%","Cov: 24.02%
Acc: 83.67%
Miss: 0.00%","Cov: 39.70%
Acc: 74.06%
Miss: 0.09%","Cov: 57.06%
Acc: 66.99%
Miss: 0.77%","Cov: 69.65%
Acc: 61.22%
Miss: 0.89%","Cov: 79.41%
Acc: 57.72%
Miss: 0.75%","Cov: 87.46%
Acc: 54.88%
Miss: 0.23%","Cov: 93.39%
Acc: 53.58%
Miss: 0.05%","Cov: 97.36%
Acc: 52.65%
Miss: 0.03%","Cov: 98.57%
Acc: 52.27%
Miss: 0.02%","Cov: 99.67%
Acc: 51.98%
Miss: 0.01%"
Class_12,"Cov: 11.24%
Acc: 68.79%
Miss: 0.00%","Cov: 25.26%
Acc: 70.30%
Miss: 0.00%","Cov: 39.99%
Acc: 70.50%
Miss: 0.01%","Cov: 54.78%
Acc: 68.93%
Miss: 0.22%","Cov: 66.83%
Acc: 65.33%
Miss: 0.43%","Cov: 76.69%
Acc: 64.12%
Miss: 0.49%","Cov: 85.57%
Acc: 62.89%
Miss: 0.14%","Cov: 91.01%
Acc: 62.00%
Miss: 0.03%","Cov: 96.08%
Acc: 61.66%
Miss: 0.02%","Cov: 98.49%
Acc: 61.44%
Miss: 0.00%","Cov: 99.80%
Acc: 61.16%
Miss: 0.00%"
Class_13,"Cov: 14.71%
Acc: 85.40%
Miss: 0.01%","Cov: 22.45%
Acc: 81.23%
Miss: 0.04%","Cov: 38.71%
Acc: 72.15%
Miss: 0.42%","Cov: 54.34%
Acc: 64.01%
Miss: 0.49%","Cov: 70.38%
Acc: 59.20%
Miss: 0.46%","Cov: 82.32%
Acc: 56.83%
Miss: 0.24%","Cov: 90.28%
Acc: 54.38%
Miss: 0.19%","Cov: 94.97%
Acc: 52.76%
Miss: 0.18%","Cov: 98.71%
Acc: 51.41%
Miss: 0.03%","Cov: 99.65%
Acc: 51.05%
Miss: 0.01%","Cov: 99.94%
Acc: 50.93%
Miss: 0.00%"
Class_14,"Cov: 15.66%
Acc: 79.13%
Miss: 0.01%","Cov: 22.83%
Acc: 76.19%
Miss: 0.04%","Cov: 37.91%
Acc: 70.32%
Miss: 0.51%","Cov: 53.65%
Acc: 61.68%
Miss: 1.28%","Cov: 67.58%
Acc: 54.92%
Miss: 2.18%","Cov: 78.57%
Acc: 50.74%
Miss: 2.25%","Cov: 88.25%
Acc: 46.95%
Miss: 0.94%","Cov: 94.33%
Acc: 45.04%
Miss: 0.33%","Cov: 98.67%
Acc: 43.77%
Miss: 0.11%","Cov: 99.70%
Acc: 43.36%
Miss: 0.02%","Cov: 99.98%
Acc: 43.28%
Miss: 0.00%"
Class_15,"Cov: 10.93%
Acc: 83.98%
Miss: 0.09%","Cov: 20.75%
Acc: 86.04%
Miss: 0.20%","Cov: 32.64%
Acc: 82.38%
Miss: 0.49%","Cov: 44.70%
Acc: 76.32%
Miss: 0.67%","Cov: 58.36%
Acc: 72.91%
Miss: 0.93%","Cov: 71.25%
Acc: 70.08%
Miss: 0.56%","Cov: 83.10%
Acc: 67.73%
Miss: 0.05%","Cov: 92.53%
Acc: 67.74%
Miss: 0.02%","Cov: 98.15%
Acc: 67.07%
Miss: 0.01%","Cov: 99.46%
Acc: 66.79%
Miss: 0.00%","Cov: 100.00%
Acc: 66.65%
Miss: 0.00%"
Class_16,"Cov: 24.19%
Acc: 82.10%
Miss: 0.00%","Cov: 25.80%
Acc: 77.11%
Miss: 0.00%","Cov: 35.59%
Acc: 74.45%
Miss: 0.01%","Cov: 49.12%
Acc: 72.07%
Miss: 0.01%","Cov: 61.68%
Acc: 70.02%
Miss: 0.07%","Cov: 74.02%
Acc: 70.17%
Miss: 0.04%","Cov: 83.65%
Acc: 69.56%
Miss: 0.02%","Cov: 91.16%
Acc: 69.42%
Miss: 0.05%","Cov: 95.84%
Acc: 68.89%
Miss: 0.04%","Cov: 98.26%
Acc: 68.56%
Miss: 0.02%","Cov: 99.80%
Acc: 68.56%
Miss: 0.02%"
Class_17,"Cov: 23.76%
Acc: 92.55%
Miss: 0.00%","Cov: 25.72%
Acc: 85.55%
Miss: 0.00%","Cov: 40.13%
Acc: 73.87%
Miss: 0.00%","Cov: 59.53%
Acc: 66.90%
Miss: 0.02%","Cov: 72.54%
Acc: 64.35%
Miss: 0.01%","Cov: 82.19%
Acc: 63.42%
Miss: 0.06%","Cov: 90.60%
Acc: 62.23%
Miss: 0.04%","Cov: 95.48%
Acc: 61.74%
Miss: 0.01%","Cov: 98.19%
Acc: 61.30%
Miss: 0.00%","Cov: 99.19%
Acc: 61.00%
Miss: 0.00%","Cov: 99.80%
Acc: 60.86%
Miss: 0.00%"
Class_18,"Cov: 41.85%
Acc: 91.31%
Miss: 0.00%","Cov: 44.89%
Acc: 85.46%
Miss: 0.00%","Cov: 50.60%
Acc: 75.81%
Miss: 0.00%","Cov: 56.68%
Acc: 67.81%
Miss: 0.00%","Cov: 70.89%
Acc: 66.34%
Miss: 0.05%","Cov: 82.04%
Acc: 65.17%
Miss: 0.00%","Cov: 89.87%
Acc: 63.75%
Miss: 0.00%","Cov: 94.85%
Acc: 62.21%
Miss: 0.06%","Cov: 98.32%
Acc: 60.82%
Miss: 0.03%","Cov: 99.46%
Acc: 60.41%
Miss: 0.01%","Cov: 99.92%
Acc: 60.09%
Miss: 0.00%"
Class_19,"Cov: 13.85%
Acc: 63.00%
Miss: 0.15%","Cov: 23.08%
Acc: 75.30%
Miss: 0.77%","Cov: 33.54%
Acc: 69.70%
Miss: 1.69%","Cov: 49.85%
Acc: 59.09%
Miss: 1.23%","Cov: 59.54%
Acc: 56.77%
Miss: 1.23%","Cov: 71.69%
Acc: 55.49%
Miss: 0.62%","Cov: 84.31%
Acc: 53.93%
Miss: 1.08%","Cov: 90.92%
Acc: 53.38%
Miss: 0.15%","Cov: 96.77%
Acc: 54.17%
Miss: 0.00%","Cov: 98.77%
Acc: 53.71%
Miss: 0.00%","Cov: 100.00%
Acc: 53.23%
Miss: 0.00%"
