,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 6.54 ± 0.07%
Acc: 84.97 ± 1.05%","Cov: 8.86 ± 0.09%
Acc: 80.30 ± 0.87%","Cov: 14.16 ± 0.13%
Acc: 79.18 ± 0.66%","Cov: 23.48 ± 0.14%
Acc: 79.68 ± 0.43%","Cov: 34.41 ± 0.15%
Acc: 79.50 ± 0.31%","Cov: 47.20 ± 0.17%
Acc: 77.60 ± 0.24%","Cov: 59.85 ± 0.16%
Acc: 76.16 ± 0.21%","Cov: 71.03 ± 0.15%
Acc: 74.66 ± 0.19%","Cov: 81.72 ± 0.15%
Acc: 72.80 ± 0.19%","Cov: 93.32 ± 0.08%
Acc: 70.95 ± 0.16%","Cov: 98.52 ± 0.04%
Acc: 69.93 ± 0.12%","Cov: 99.83 ± 0.01%
Acc: 69.67 ± 0.11%","Cov: 99.99 ± 0.00%
Acc: 70.07 ± 0.11%"
Class_0,"Cov: 2.66 ± 0.13%
Acc: 48.93 ± 3.25%","Cov: 4.84 ± 0.21%
Acc: 50.24 ± 2.43%","Cov: 22.07 ± 0.57%
Acc: 84.48 ± 0.67%","Cov: 29.55 ± 0.57%
Acc: 75.93 ± 0.94%","Cov: 38.88 ± 0.57%
Acc: 73.38 ± 0.92%","Cov: 53.56 ± 0.56%
Acc: 71.81 ± 0.83%","Cov: 64.55 ± 0.48%
Acc: 68.53 ± 0.89%","Cov: 73.84 ± 0.41%
Acc: 64.70 ± 0.89%","Cov: 85.82 ± 0.30%
Acc: 65.33 ± 0.83%","Cov: 94.01 ± 0.19%
Acc: 62.79 ± 0.78%","Cov: 98.97 ± 0.05%
Acc: 63.37 ± 0.76%","Cov: 99.90 ± 0.02%
Acc: 62.98 ± 0.76%","Cov: 100.00 ± 0.00%
Acc: 62.88 ± 0.75%"
Class_1,"Cov: 27.43 ± 0.54%
Acc: 91.57 ± 3.70%","Cov: 29.27 ± 0.68%
Acc: 86.18 ± 3.85%","Cov: 31.65 ± 0.98%
Acc: 80.04 ± 3.90%","Cov: 33.97 ± 1.23%
Acc: 74.83 ± 3.87%","Cov: 39.30 ± 1.10%
Acc: 73.91 ± 3.44%","Cov: 49.95 ± 0.61%
Acc: 75.08 ± 2.41%","Cov: 63.24 ± 0.54%
Acc: 76.90 ± 1.78%","Cov: 74.04 ± 0.45%
Acc: 76.13 ± 1.57%","Cov: 83.41 ± 0.41%
Acc: 75.07 ± 1.44%","Cov: 93.95 ± 0.21%
Acc: 74.19 ± 1.30%","Cov: 98.31 ± 0.09%
Acc: 72.17 ± 0.92%","Cov: 99.76 ± 0.04%
Acc: 71.77 ± 0.54%","Cov: 99.99 ± 0.01%
Acc: 71.69 ± 0.57%"
Class_2,"Cov: 3.28 ± 0.19%
Acc: 58.01 ± 3.54%","Cov: 9.64 ± 0.38%
Acc: 77.08 ± 1.39%","Cov: 13.94 ± 0.41%
Acc: 70.94 ± 1.63%","Cov: 22.00 ± 0.42%
Acc: 66.94 ± 1.36%","Cov: 37.66 ± 0.53%
Acc: 72.72 ± 1.00%","Cov: 50.80 ± 0.51%
Acc: 71.39 ± 0.92%","Cov: 61.90 ± 0.44%
Acc: 69.35 ± 0.81%","Cov: 76.21 ± 0.29%
Acc: 69.84 ± 0.73%","Cov: 84.22 ± 0.25%
Acc: 65.63 ± 0.72%","Cov: 93.36 ± 0.17%
Acc: 60.89 ± 0.69%","Cov: 98.65 ± 0.08%
Acc: 58.63 ± 0.66%","Cov: 99.83 ± 0.03%
Acc: 58.01 ± 0.64%","Cov: 100.00 ± 0.00%
Acc: 57.75 ± 0.63%"
Class_3,"Cov: 3.81 ± 0.20%
Acc: 68.70 ± 2.14%","Cov: 7.31 ± 0.32%
Acc: 69.91 ± 1.52%","Cov: 10.53 ± 0.36%
Acc: 66.91 ± 1.53%","Cov: 21.38 ± 0.44%
Acc: 74.01 ± 0.91%","Cov: 32.49 ± 0.46%
Acc: 74.36 ± 0.83%","Cov: 43.54 ± 0.42%
Acc: 68.68 ± 0.83%","Cov: 55.19 ± 0.42%
Acc: 66.14 ± 0.71%","Cov: 66.96 ± 0.44%
Acc: 62.94 ± 0.65%","Cov: 77.63 ± 0.40%
Acc: 57.70 ± 0.63%","Cov: 92.33 ± 0.23%
Acc: 55.94 ± 0.59%","Cov: 97.81 ± 0.15%
Acc: 52.57 ± 0.55%","Cov: 99.59 ± 0.08%
Acc: 51.97 ± 0.56%","Cov: 99.96 ± 0.02%
Acc: 51.82 ± 0.56%"
Class_4,"Cov: 7.07 ± 0.22%
Acc: 60.03 ± 2.30%","Cov: 11.77 ± 0.35%
Acc: 60.62 ± 1.72%","Cov: 19.16 ± 0.61%
Acc: 46.62 ± 1.90%","Cov: 31.62 ± 0.43%
Acc: 59.19 ± 1.60%","Cov: 39.07 ± 0.48%
Acc: 57.00 ± 1.45%","Cov: 50.87 ± 0.55%
Acc: 58.05 ± 1.28%","Cov: 59.06 ± 0.49%
Acc: 55.62 ± 1.15%","Cov: 72.35 ± 0.47%
Acc: 59.14 ± 0.96%","Cov: 84.24 ± 0.37%
Acc: 60.30 ± 0.80%","Cov: 93.92 ± 0.23%
Acc: 57.00 ± 0.79%","Cov: 98.91 ± 0.09%
Acc: 57.14 ± 0.73%","Cov: 99.92 ± 0.03%
Acc: 56.78 ± 0.74%","Cov: 100.00 ± 0.00%
Acc: 56.68 ± 0.73%"
Class_5,"Cov: 1.94 ± 0.13%
Acc: 61.18 ± 3.71%","Cov: 3.29 ± 0.15%
Acc: 61.60 ± 2.78%","Cov: 11.97 ± 0.33%
Acc: 73.54 ± 1.58%","Cov: 22.80 ± 0.49%
Acc: 77.59 ± 1.21%","Cov: 33.02 ± 0.54%
Acc: 76.89 ± 1.06%","Cov: 44.13 ± 0.58%
Acc: 70.14 ± 0.99%","Cov: 61.53 ± 0.50%
Acc: 71.61 ± 0.81%","Cov: 72.10 ± 0.42%
Acc: 68.46 ± 0.74%","Cov: 85.45 ± 0.32%
Acc: 70.22 ± 0.62%","Cov: 94.42 ± 0.20%
Acc: 66.82 ± 0.59%","Cov: 98.76 ± 0.07%
Acc: 65.67 ± 0.56%","Cov: 99.90 ± 0.02%
Acc: 65.51 ± 0.54%","Cov: 99.99 ± 0.00%
Acc: 65.48 ± 0.54%"
Class_6,"Cov: 13.95 ± 0.17%
Acc: 98.60 ± 0.17%","Cov: 14.09 ± 0.17%
Acc: 97.61 ± 0.22%","Cov: 14.30 ± 0.17%
Acc: 96.20 ± 0.35%","Cov: 23.25 ± 0.19%
Acc: 96.21 ± 0.38%","Cov: 27.33 ± 0.28%
Acc: 95.53 ± 0.48%","Cov: 33.65 ± 0.38%
Acc: 94.25 ± 0.61%","Cov: 49.69 ± 0.63%
Acc: 93.20 ± 0.64%","Cov: 57.56 ± 0.70%
Acc: 90.06 ± 0.82%","Cov: 69.38 ± 0.81%
Acc: 86.74 ± 0.88%","Cov: 92.50 ± 0.35%
Acc: 88.24 ± 0.39%","Cov: 98.13 ± 0.17%
Acc: 89.23 ± 0.24%","Cov: 99.72 ± 0.07%
Acc: 89.94 ± 0.22%","Cov: 100.00 ± 0.00%
Acc: 94.15 ± 0.20%"
Class_7,"Cov: 2.12 ± 0.13%
Acc: 49.70 ± 3.75%","Cov: 3.32 ± 0.18%
Acc: 46.86 ± 3.26%","Cov: 5.22 ± 0.26%
Acc: 48.58 ± 2.72%","Cov: 12.45 ± 0.40%
Acc: 61.06 ± 2.02%","Cov: 28.83 ± 0.61%
Acc: 74.81 ± 1.17%","Cov: 45.64 ± 0.80%
Acc: 74.13 ± 0.93%","Cov: 56.72 ± 0.74%
Acc: 71.56 ± 0.87%","Cov: 68.49 ± 0.62%
Acc: 69.91 ± 0.75%","Cov: 79.68 ± 0.51%
Acc: 67.30 ± 0.71%","Cov: 92.54 ± 0.26%
Acc: 66.42 ± 0.67%","Cov: 98.52 ± 0.10%
Acc: 66.61 ± 0.67%","Cov: 99.87 ± 0.01%
Acc: 66.66 ± 0.64%","Cov: 100.00 ± 0.00%
Acc: 66.68 ± 0.65%"
Class_8,"Cov: 4.80 ± 0.21%
Acc: 64.99 ± 2.45%","Cov: 8.33 ± 0.30%
Acc: 65.78 ± 1.80%","Cov: 16.30 ± 0.49%
Acc: 76.25 ± 1.08%","Cov: 30.25 ± 0.47%
Acc: 81.18 ± 0.72%","Cov: 38.61 ± 0.52%
Acc: 78.55 ± 0.77%","Cov: 52.11 ± 0.55%
Acc: 76.65 ± 0.62%","Cov: 59.75 ± 0.49%
Acc: 69.95 ± 0.62%","Cov: 69.65 ± 0.43%
Acc: 64.59 ± 0.57%","Cov: 81.54 ± 0.36%
Acc: 61.08 ± 0.52%","Cov: 92.76 ± 0.26%
Acc: 56.22 ± 0.52%","Cov: 98.47 ± 0.09%
Acc: 53.42 ± 0.51%","Cov: 99.71 ± 0.05%
Acc: 52.60 ± 0.51%","Cov: 99.95 ± 0.03%
Acc: 52.42 ± 0.50%"
