,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_9,"Cov: 4.96 ± 0.39%
Acc: 74.04 ± 2.95%","Cov: 8.44 ± 0.51%
Acc: 76.52 ± 2.38%","Cov: 11.06 ± 0.58%
Acc: 82.25 ± 1.75%","Cov: 20.41 ± 0.72%
Acc: 89.63 ± 1.12%","Cov: 31.17 ± 0.79%
Acc: 90.90 ± 0.88%","Cov: 41.07 ± 0.84%
Acc: 90.61 ± 0.78%","Cov: 51.76 ± 0.81%
Acc: 90.47 ± 0.74%","Cov: 62.47 ± 0.75%
Acc: 88.41 ± 0.83%","Cov: 74.14 ± 0.65%
Acc: 86.01 ± 0.72%","Cov: 85.81 ± 0.47%
Acc: 82.10 ± 0.77%","Cov: 95.58 ± 0.31%
Acc: 77.29 ± 0.73%","Cov: 99.01 ± 0.18%
Acc: 74.84 ± 0.72%","Cov: 100.00 ± 0.00%
Acc: 74.29 ± 0.69%"
Class_10,"Cov: 7.01 ± 0.25%
Acc: 87.06 ± 1.29%","Cov: 12.50 ± 0.35%
Acc: 87.79 ± 0.99%","Cov: 12.69 ± 0.34%
Acc: 86.45 ± 1.06%","Cov: 21.59 ± 0.39%
Acc: 90.80 ± 0.71%","Cov: 31.45 ± 0.45%
Acc: 92.41 ± 0.55%","Cov: 41.68 ± 0.52%
Acc: 92.76 ± 0.52%","Cov: 52.41 ± 0.51%
Acc: 92.65 ± 0.41%","Cov: 63.30 ± 0.53%
Acc: 91.50 ± 0.41%","Cov: 75.60 ± 0.40%
Acc: 89.15 ± 0.42%","Cov: 88.00 ± 0.29%
Acc: 87.14 ± 0.36%","Cov: 97.83 ± 0.13%
Acc: 86.13 ± 0.36%","Cov: 99.61 ± 0.06%
Acc: 86.74 ± 0.29%","Cov: 100.00 ± 0.00%
Acc: 87.00 ± 0.30%"
Class_11,"Cov: 11.40 ± 0.39%
Acc: 88.97 ± 1.09%","Cov: 17.28 ± 0.54%
Acc: 87.50 ± 0.98%","Cov: 17.53 ± 0.53%
Acc: 86.19 ± 0.97%","Cov: 23.11 ± 0.53%
Acc: 82.37 ± 0.90%","Cov: 33.60 ± 0.64%
Acc: 83.86 ± 0.71%","Cov: 44.75 ± 0.71%
Acc: 85.04 ± 0.68%","Cov: 55.45 ± 0.63%
Acc: 85.35 ± 0.60%","Cov: 65.78 ± 0.64%
Acc: 84.06 ± 0.60%","Cov: 77.25 ± 0.59%
Acc: 82.22 ± 0.53%","Cov: 89.37 ± 0.43%
Acc: 80.36 ± 0.48%","Cov: 97.87 ± 0.17%
Acc: 79.00 ± 0.47%","Cov: 99.59 ± 0.09%
Acc: 79.36 ± 0.48%","Cov: 99.97 ± 0.02%
Acc: 79.28 ± 0.45%"
Class_12,"Cov: 10.21 ± 0.68%
Acc: 91.89 ± 1.82%","Cov: 13.47 ± 0.83%
Acc: 89.87 ± 1.62%","Cov: 13.97 ± 0.83%
Acc: 86.64 ± 1.85%","Cov: 23.30 ± 0.91%
Acc: 80.66 ± 1.76%","Cov: 34.42 ± 0.95%
Acc: 79.16 ± 1.40%","Cov: 46.68 ± 0.97%
Acc: 77.72 ± 1.32%","Cov: 58.09 ± 0.90%
Acc: 76.90 ± 1.15%","Cov: 69.81 ± 0.90%
Acc: 77.02 ± 1.02%","Cov: 80.00 ± 0.79%
Acc: 77.60 ± 1.04%","Cov: 89.44 ± 0.66%
Acc: 78.48 ± 0.83%","Cov: 97.06 ± 0.31%
Acc: 78.82 ± 0.77%","Cov: 99.13 ± 0.19%
Acc: 78.28 ± 0.81%","Cov: 99.99 ± 0.02%
Acc: 78.06 ± 0.77%"
Class_13,"Cov: 8.75 ± 0.36%
Acc: 83.50 ± 2.24%","Cov: 14.82 ± 0.48%
Acc: 80.37 ± 1.67%","Cov: 15.37 ± 0.48%
Acc: 77.48 ± 1.63%","Cov: 23.10 ± 0.50%
Acc: 78.52 ± 1.42%","Cov: 33.45 ± 0.69%
Acc: 82.37 ± 0.89%","Cov: 43.66 ± 0.70%
Acc: 83.57 ± 0.72%","Cov: 54.54 ± 0.83%
Acc: 84.36 ± 0.69%","Cov: 65.55 ± 0.77%
Acc: 84.24 ± 0.61%","Cov: 77.32 ± 0.67%
Acc: 83.49 ± 0.69%","Cov: 89.13 ± 0.50%
Acc: 81.39 ± 0.69%","Cov: 97.72 ± 0.24%
Acc: 78.12 ± 0.73%","Cov: 99.57 ± 0.09%
Acc: 76.97 ± 0.75%","Cov: 99.97 ± 0.03%
Acc: 76.54 ± 0.74%"
Class_14,"Cov: 8.88 ± 0.49%
Acc: 79.48 ± 2.38%","Cov: 14.17 ± 0.49%
Acc: 75.69 ± 1.81%","Cov: 15.35 ± 0.46%
Acc: 69.82 ± 1.95%","Cov: 22.83 ± 0.59%
Acc: 76.86 ± 1.47%","Cov: 31.52 ± 0.77%
Acc: 80.11 ± 1.29%","Cov: 41.83 ± 0.97%
Acc: 82.45 ± 0.94%","Cov: 52.16 ± 0.99%
Acc: 84.44 ± 0.81%","Cov: 62.43 ± 0.96%
Acc: 84.22 ± 0.77%","Cov: 74.23 ± 0.90%
Acc: 82.44 ± 0.75%","Cov: 87.20 ± 0.65%
Acc: 78.64 ± 0.74%","Cov: 97.24 ± 0.26%
Acc: 75.46 ± 0.83%","Cov: 99.54 ± 0.11%
Acc: 73.82 ± 0.80%","Cov: 100.00 ± 0.00%
Acc: 73.38 ± 0.80%"
Class_15,"Cov: 3.49 ± 0.26%
Acc: 74.73 ± 4.08%","Cov: 5.41 ± 0.38%
Acc: 69.38 ± 3.35%","Cov: 10.54 ± 0.50%
Acc: 82.27 ± 2.17%","Cov: 20.54 ± 0.73%
Acc: 86.05 ± 1.25%","Cov: 31.34 ± 0.86%
Acc: 89.29 ± 0.90%","Cov: 41.96 ± 0.68%
Acc: 90.28 ± 0.72%","Cov: 52.39 ± 0.68%
Acc: 91.07 ± 0.62%","Cov: 63.54 ± 0.64%
Acc: 90.30 ± 0.57%","Cov: 74.40 ± 0.56%
Acc: 88.98 ± 0.55%","Cov: 85.61 ± 0.46%
Acc: 86.71 ± 0.56%","Cov: 96.25 ± 0.30%
Acc: 84.55 ± 0.52%","Cov: 99.03 ± 0.16%
Acc: 83.95 ± 0.51%","Cov: 99.88 ± 0.05%
Acc: 83.55 ± 0.51%"
Class_16,"Cov: 17.17 ± 0.50%
Acc: 94.35 ± 0.81%","Cov: 26.30 ± 0.56%
Acc: 94.63 ± 0.70%","Cov: 26.79 ± 0.58%
Acc: 92.92 ± 0.82%","Cov: 27.75 ± 0.57%
Acc: 87.71 ± 1.01%","Cov: 34.57 ± 0.62%
Acc: 84.99 ± 0.94%","Cov: 46.63 ± 0.69%
Acc: 85.14 ± 0.87%","Cov: 56.90 ± 0.74%
Acc: 84.86 ± 0.77%","Cov: 64.20 ± 0.74%
Acc: 88.99 ± 0.58%","Cov: 75.32 ± 0.68%
Acc: 88.61 ± 0.52%","Cov: 87.67 ± 0.51%
Acc: 86.19 ± 0.54%","Cov: 96.83 ± 0.27%
Acc: 84.81 ± 0.49%","Cov: 99.35 ± 0.12%
Acc: 84.29 ± 0.51%","Cov: 99.98 ± 0.02%
Acc: 83.89 ± 0.53%"
Class_17,"Cov: 11.45 ± 0.58%
Acc: 94.26 ± 1.07%","Cov: 20.85 ± 0.72%
Acc: 93.41 ± 0.92%","Cov: 21.57 ± 0.72%
Acc: 90.27 ± 1.18%","Cov: 26.23 ± 0.71%
Acc: 84.10 ± 1.76%","Cov: 34.42 ± 0.65%
Acc: 84.68 ± 1.24%","Cov: 44.42 ± 0.72%
Acc: 83.93 ± 1.04%","Cov: 54.87 ± 0.81%
Acc: 82.61 ± 0.87%","Cov: 65.16 ± 0.73%
Acc: 83.05 ± 0.86%","Cov: 77.11 ± 0.68%
Acc: 82.13 ± 0.89%","Cov: 89.22 ± 0.47%
Acc: 81.66 ± 0.69%","Cov: 97.60 ± 0.23%
Acc: 82.35 ± 0.66%","Cov: 99.47 ± 0.12%
Acc: 82.59 ± 0.66%","Cov: 99.97 ± 0.03%
Acc: 82.42 ± 0.66%"
Class_18,"Cov: 11.36 ± 0.73%
Acc: 80.12 ± 2.84%","Cov: 18.97 ± 0.77%
Acc: 78.00 ± 2.31%","Cov: 19.82 ± 0.85%
Acc: 74.81 ± 2.39%","Cov: 29.82 ± 0.93%
Acc: 71.09 ± 1.63%","Cov: 38.89 ± 0.92%
Acc: 69.44 ± 1.57%","Cov: 50.19 ± 0.92%
Acc: 70.33 ± 1.41%","Cov: 61.49 ± 1.00%
Acc: 71.72 ± 1.23%","Cov: 69.12 ± 1.06%
Acc: 73.57 ± 1.05%","Cov: 78.72 ± 0.99%
Acc: 74.60 ± 0.94%","Cov: 89.46 ± 0.65%
Acc: 72.76 ± 0.94%","Cov: 97.85 ± 0.32%
Acc: 69.59 ± 0.99%","Cov: 99.69 ± 0.13%
Acc: 67.40 ± 1.06%","Cov: 100.00 ± 0.00%
Acc: 66.66 ± 0.97%"
Class_19,"Cov: 7.27 ± 0.71%
Acc: 76.84 ± 4.87%","Cov: 11.53 ± 0.87%
Acc: 76.61 ± 2.78%","Cov: 14.24 ± 0.96%
Acc: 77.77 ± 2.59%","Cov: 24.73 ± 1.23%
Acc: 77.48 ± 2.50%","Cov: 34.96 ± 1.25%
Acc: 77.98 ± 2.13%","Cov: 45.73 ± 1.35%
Acc: 78.35 ± 1.91%","Cov: 56.39 ± 1.38%
Acc: 79.54 ± 1.59%","Cov: 65.57 ± 1.32%
Acc: 79.40 ± 1.51%","Cov: 76.33 ± 1.06%
Acc: 75.87 ± 1.65%","Cov: 87.27 ± 0.95%
Acc: 71.17 ± 1.48%","Cov: 96.39 ± 0.54%
Acc: 65.34 ± 1.44%","Cov: 98.86 ± 0.26%
Acc: 62.39 ± 1.46%","Cov: 100.00 ± 0.00%
Acc: 60.75 ± 1.51%"
