,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Class_9,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 10.74 ± 0.59%
Acc: 93.14 ± 1.34%","Cov: 20.31 ± 0.75%
Acc: 91.69 ± 1.13%","Cov: 31.41 ± 0.88%
Acc: 91.00 ± 0.86%","Cov: 42.10 ± 0.87%
Acc: 86.01 ± 0.75%","Cov: 52.11 ± 0.86%
Acc: 82.76 ± 0.83%","Cov: 62.31 ± 0.77%
Acc: 78.93 ± 0.77%","Cov: 72.16 ± 0.70%
Acc: 77.08 ± 0.71%","Cov: 81.83 ± 0.55%
Acc: 75.60 ± 0.77%","Cov: 91.72 ± 0.46%
Acc: 74.18 ± 0.70%","Cov: 96.08 ± 0.31%
Acc: 73.55 ± 0.63%","Cov: 99.45 ± 0.14%
Acc: 73.32 ± 0.60%"
Class_10,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 13.17 ± 0.36%
Acc: 88.52 ± 1.07%","Cov: 21.82 ± 0.41%
Acc: 90.80 ± 0.75%","Cov: 31.89 ± 0.46%
Acc: 90.71 ± 0.70%","Cov: 42.67 ± 0.50%
Acc: 89.82 ± 0.49%","Cov: 53.45 ± 0.54%
Acc: 88.73 ± 0.44%","Cov: 63.44 ± 0.50%
Acc: 88.30 ± 0.40%","Cov: 73.28 ± 0.46%
Acc: 86.97 ± 0.38%","Cov: 82.74 ± 0.44%
Acc: 86.14 ± 0.33%","Cov: 92.01 ± 0.26%
Acc: 85.85 ± 0.36%","Cov: 96.02 ± 0.20%
Acc: 85.69 ± 0.36%","Cov: 99.21 ± 0.08%
Acc: 85.82 ± 0.35%"
Class_11,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 18.42 ± 0.52%
Acc: 80.64 ± 1.19%","Cov: 24.94 ± 0.56%
Acc: 80.57 ± 0.93%","Cov: 34.63 ± 0.61%
Acc: 79.57 ± 0.88%","Cov: 46.64 ± 0.76%
Acc: 79.20 ± 0.75%","Cov: 58.40 ± 0.64%
Acc: 78.12 ± 0.58%","Cov: 68.45 ± 0.60%
Acc: 77.53 ± 0.52%","Cov: 77.04 ± 0.53%
Acc: 78.23 ± 0.49%","Cov: 85.47 ± 0.45%
Acc: 78.00 ± 0.53%","Cov: 93.31 ± 0.26%
Acc: 78.03 ± 0.56%","Cov: 96.84 ± 0.21%
Acc: 78.22 ± 0.50%","Cov: 99.36 ± 0.10%
Acc: 78.33 ± 0.50%"
Class_12,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 14.78 ± 0.85%
Acc: 62.85 ± 2.44%","Cov: 23.21 ± 0.94%
Acc: 67.73 ± 1.99%","Cov: 35.61 ± 0.92%
Acc: 71.75 ± 1.48%","Cov: 45.37 ± 0.84%
Acc: 73.78 ± 1.48%","Cov: 56.02 ± 0.93%
Acc: 73.89 ± 1.13%","Cov: 64.21 ± 0.81%
Acc: 75.82 ± 1.20%","Cov: 75.28 ± 0.75%
Acc: 76.16 ± 0.98%","Cov: 83.87 ± 0.67%
Acc: 76.74 ± 0.97%","Cov: 92.84 ± 0.45%
Acc: 75.94 ± 0.80%","Cov: 96.15 ± 0.36%
Acc: 75.57 ± 0.78%","Cov: 98.88 ± 0.20%
Acc: 75.91 ± 0.74%"
Class_13,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 15.02 ± 0.48%
Acc: 76.55 ± 1.86%","Cov: 23.44 ± 0.56%
Acc: 76.83 ± 1.24%","Cov: 33.83 ± 0.65%
Acc: 79.35 ± 0.92%","Cov: 43.86 ± 0.72%
Acc: 80.20 ± 0.87%","Cov: 54.98 ± 0.81%
Acc: 79.94 ± 0.91%","Cov: 66.09 ± 0.82%
Acc: 79.08 ± 0.81%","Cov: 76.34 ± 0.67%
Acc: 78.60 ± 0.67%","Cov: 86.74 ± 0.48%
Acc: 77.73 ± 0.73%","Cov: 94.55 ± 0.29%
Acc: 77.16 ± 0.71%","Cov: 97.56 ± 0.20%
Acc: 76.71 ± 0.72%","Cov: 99.49 ± 0.11%
Acc: 76.47 ± 0.66%"
Class_14,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 16.44 ± 0.65%
Acc: 68.40 ± 1.76%","Cov: 22.98 ± 0.65%
Acc: 75.27 ± 1.44%","Cov: 31.72 ± 0.84%
Acc: 77.43 ± 1.19%","Cov: 41.75 ± 0.91%
Acc: 78.61 ± 1.10%","Cov: 52.35 ± 0.88%
Acc: 78.82 ± 0.94%","Cov: 63.00 ± 0.93%
Acc: 77.79 ± 0.86%","Cov: 71.84 ± 0.86%
Acc: 77.66 ± 0.82%","Cov: 81.09 ± 0.79%
Acc: 76.33 ± 0.73%","Cov: 91.57 ± 0.53%
Acc: 75.37 ± 0.74%","Cov: 95.89 ± 0.38%
Acc: 74.07 ± 0.80%","Cov: 99.34 ± 0.13%
Acc: 73.27 ± 0.80%"
Class_15,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 10.33 ± 0.51%
Acc: 79.06 ± 2.11%","Cov: 20.44 ± 0.77%
Acc: 84.99 ± 1.31%","Cov: 31.14 ± 0.81%
Acc: 88.58 ± 0.93%","Cov: 42.38 ± 0.84%
Acc: 86.36 ± 0.87%","Cov: 52.78 ± 0.82%
Acc: 85.34 ± 0.72%","Cov: 62.40 ± 0.86%
Acc: 83.77 ± 0.64%","Cov: 73.09 ± 0.82%
Acc: 82.21 ± 0.69%","Cov: 82.37 ± 0.71%
Acc: 81.34 ± 0.57%","Cov: 91.83 ± 0.49%
Acc: 81.25 ± 0.55%","Cov: 96.45 ± 0.32%
Acc: 81.00 ± 0.52%","Cov: 99.72 ± 0.09%
Acc: 81.35 ± 0.54%"
Class_16,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 30.40 ± 0.64%
Acc: 89.60 ± 0.94%","Cov: 33.48 ± 0.66%
Acc: 81.41 ± 1.00%","Cov: 36.15 ± 0.63%
Acc: 79.97 ± 0.90%","Cov: 49.67 ± 0.71%
Acc: 83.09 ± 1.06%","Cov: 59.51 ± 0.79%
Acc: 79.87 ± 0.73%","Cov: 69.72 ± 0.70%
Acc: 80.54 ± 0.61%","Cov: 78.78 ± 0.59%
Acc: 82.93 ± 0.62%","Cov: 86.08 ± 0.49%
Acc: 83.76 ± 0.57%","Cov: 92.89 ± 0.33%
Acc: 83.43 ± 0.41%","Cov: 96.73 ± 0.28%
Acc: 83.08 ± 0.49%","Cov: 99.36 ± 0.14%
Acc: 82.82 ± 0.54%"
Class_17,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 19.26 ± 0.65%
Acc: 71.85 ± 1.77%","Cov: 25.37 ± 0.74%
Acc: 67.57 ± 1.51%","Cov: 35.51 ± 0.74%
Acc: 75.13 ± 1.41%","Cov: 46.89 ± 0.66%
Acc: 78.88 ± 1.04%","Cov: 58.35 ± 0.78%
Acc: 78.96 ± 0.88%","Cov: 68.91 ± 0.69%
Acc: 79.07 ± 0.91%","Cov: 78.79 ± 0.70%
Acc: 79.81 ± 0.73%","Cov: 86.83 ± 0.63%
Acc: 80.17 ± 0.71%","Cov: 94.09 ± 0.44%
Acc: 80.52 ± 0.69%","Cov: 96.92 ± 0.30%
Acc: 81.54 ± 0.72%","Cov: 99.58 ± 0.11%
Acc: 81.81 ± 0.63%"
Class_18,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 22.01 ± 1.04%
Acc: 56.54 ± 2.55%","Cov: 29.64 ± 1.06%
Acc: 58.17 ± 1.84%","Cov: 38.92 ± 1.01%
Acc: 61.89 ± 1.69%","Cov: 51.86 ± 1.01%
Acc: 64.82 ± 1.27%","Cov: 62.34 ± 1.01%
Acc: 65.39 ± 1.10%","Cov: 71.19 ± 0.98%
Acc: 66.79 ± 1.06%","Cov: 80.01 ± 1.01%
Acc: 66.79 ± 1.10%","Cov: 86.28 ± 0.79%
Acc: 66.82 ± 1.13%","Cov: 93.89 ± 0.54%
Acc: 67.07 ± 1.03%","Cov: 97.18 ± 0.38%
Acc: 66.60 ± 1.04%","Cov: 99.76 ± 0.12%
Acc: 66.36 ± 0.91%"
Class_19,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 14.45 ± 0.99%
Acc: 53.94 ± 3.21%","Cov: 24.41 ± 1.24%
Acc: 63.82 ± 2.86%","Cov: 35.51 ± 1.46%
Acc: 67.03 ± 2.55%","Cov: 48.59 ± 1.53%
Acc: 67.56 ± 2.04%","Cov: 62.63 ± 1.56%
Acc: 62.83 ± 1.56%","Cov: 76.41 ± 1.34%
Acc: 61.13 ± 1.60%","Cov: 84.39 ± 1.17%
Acc: 59.16 ± 1.44%","Cov: 92.92 ± 0.60%
Acc: 59.12 ± 1.34%","Cov: 97.10 ± 0.46%
Acc: 59.02 ± 1.36%","Cov: 98.69 ± 0.26%
Acc: 58.97 ± 1.33%","Cov: 99.84 ± 0.10%
Acc: 58.76 ± 1.34%"
